"Unique ID","SL no","MGP SAP code","NEW SAP code","Retak code","New IO No","Brand Name","Sub Brand",StoreTypeasperBrand,Channel,"Franchisee Name","Store opening Date",Status,"Store Closing Date",Location,City,State,Address,"Pin code","Located ","Store Area (Sq Feet)",Region,"Store Manager Name","Contact no","Basement occupied (Y/No)","ARM email id","RM email id","NROM email id","RCM mail","Correct store email id","HO contact","RD email id"
128,1,9000509,1000,41000,,"PLANET FASHION",,"TRADE FOFO",Trade,"AJMER ROAD",2022-05-06,,,AJMER,AJMER,RAJASTHAN,"Planet Fashion Store, Karan collection, C/o Hotel Karan, Near Rathi Hospital, Ajmer Road, Ajmer, Kishangarh, Rajasthan, 305801",305801,AJMER,,NORTH,"KARAN MENGHANI",9829830020,NO," bijoy.chatterjee@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,sr9000509@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
179,2,9000510,1001,41001,,"PLANET FASHION",,"TRADE FOFO",Trade,"NAJIBABAD ROAD",2022-07-23,,,"NAJIBABAD ROAD",BIJNOR,"UTTAR PRADESH","Planet Fashion Store, AADRIKA Tower, Mirapur Raza, Najibabad Road, Civil Lines, Bijnor, Uttar Pradesh, 246701",246701,"NAJIBABAD ROAD",,NORTH,Hitesh,9690630028,NO," mohit.ahuja@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,sr9000510@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
1414,3,9000511,1002,11002,,"LOUIS PHILIPPE",,"TRADE FOFO",Trade,AIZWAL,2022-06-24,,,AIZWAL,AIZAWL,Mizoram,"Louis Philippe, Rinsanga, IAS Building, Zarkawt, Aizawl, Mizoram-796007",796001,AIZWAL,,EAST,Maruati,9774419980,NO," bikram.nayak1@abfrl.adityabirla.com "," saurav.narjinary@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000511@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
1061,4,100002,1003,11003,,"LOUIS PHILIPPE",,FOFO,Retail,"MG ROAD, COCHIN",1989-02-24,,,"MG ROAD, COCHIN",COCHIN,KERALA,"Louis Philippe, M.G.Road, North End,Ernakulam,Cochin-682035.",682035,"MG ROAD, COCHIN",,SOUTH,Sreekesh,9995720759,NO," sunil.ks@abfrl.adityabirla.com "," rajesh.kumarkr@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,yogeshwari.sundar@abfrl.adityabirla.com,mg.chnlp1003@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
161,5,9000513,1004,41004,,"PLANET FASHION",,"TRADE FOFO",Trade,"MANCOTTA ROAD",2022-06-16,,,"MANCOTTA ROAD",DIBRUGARH,Assam,"Planet Fashion Store, B.S.Trade, Opp Trends, Mancotta Road, Dibrugarh, Assam, 786001",786001,"MANCOTTA ROAD",,EAST,"Diju Das",9395459759,NO," anil.senapati1@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000513@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
145,6,9000514,1005,41005,,"PLANET FASHION",,"TRADE FOFO",Trade,"M G ROAD",2022-06-03,,,"M. G. ROAD",AURANGABAD,Bihar,"Planet Fashion Store, Ground Floor, J.K. Hotel, M.G. Road, Aurangabad, Bihar, 824101",824101,"M. G. ROAD",,EAST,"Munna Kumar",8789330813,NO," amrapali.singh@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000514@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
686,7,9000517,1008,21008,,"VAN HEUSEN",,"TRADE FOFO",Trade,"VH MAINLINE CITY WALK MALL SRI",2022-07-06,,,"CITY WALK MALL Srinagar",SRINAGAR,"Jammu and Kashmir"," A -27 1 St Floor, City Walk Mall, M.A. Road, Srinagar-190001, Jammu & Kashmir",190001,"CITY WALK MALL Srinagar",,NORTH,Basir,7889446983,NO," pankajkant.yadav@abfrl.adityabirla.com "," nitin.ratti@abfrl.adityabirla.com ",shrey.talwar@abfrl.adityabirla.com,Ajay.Verma@abfrl.adityabirla.com,sr9000517@abfrl.adityabirla.com,balasundaram.v@abfrl.adityabirla.com,aalok.sanghvi@abfrl.adityabirla.com
1064,8,100004,1009,11009,,"LOUIS PHILIPPE",,FOFO,Retail,"DB ROAD, COIMBATORE",1990-08-31,,,"DB ROAD, COIMBATORE",COIMBATORE,"Tamil Nadu","Louis Philippe, Century Plaza, 87-89 D.B.Road, R.S.Puram, Coimbatore-641002.",641002,"DB ROAD, COIMBATORE",,SOUTH,Muralidharan,9944199224,NO," elavarasan.k@abfrl.adityabirla.com "," rajesh.kumarkr@abfrl.adityabirla.com ",shilpi.pachauri@abfrl.adityabirla.com,yogeshwari.sundar@abfrl.adityabirla.com,mg.cbelp1009@abfrl.adityabirla.com,preeti.chettri@abfrl.adityabirla.com,aveek.ghosh@abfrl.adityabirla.com
142,9,9000512,1010,41010,,"PLANET FASHION",,"TRADE FOFO",Trade,"D M COLLEGE ROAD",2022-06-15,,,"D M COLLEGE ROAD",IMPHAL,Manipur,"Planet Fashion Store, Opposite Octagon Building, Near ABC Godown, Thangmmeiband, D.M College Road, Imphal West, Manipur, 795001",795001,"D M COLLEGE ROAD",,EAST,John,8072983998,NO," anil.senapati1@abfrl.adityabirla.com "," ravi.prakash@abfrl.adityabirla.com ",atul.sharma2@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000512@abfrl.adityabirla.com,ananda.priya@abfrl.adityabirla.com,darshan.thakkar@abfrl.adityabirla.com
664,10,9000520,1020,21020,,"VAN HEUSEN",,"TRADE FOFO",Trade,"VH MAINLINE BOKARO",2022-06-24,,,BOKARO,BOKARO,Jharkhand,"KDPS RETAIL GROUND FLOOR SECTOR 3C BOKARO MALL BOKARO STEEL CITY-827003",827003,BOKARO,,EAST,Rajender,8651985264,NO," utsav.misra@abfrl.adityabirla.com ","  ravinder.singh1@abfrl.adityabirla.com ",shrey.talwar@abfrl.adityabirla.com,avijit.mukherjee@abfrl.adityabirla.com,sr9000520@abfrl.adityabirla.com,balasundaram.v@abfrl.adityabirla.com,aalok.sanghvi@abfrl.adityabirla.com
