"Unique Id",TID,"Store Id","Opening Date","New Retek Code","Old Retek Code","Brand Name",Status,"Conversion Date","Closure Date",Bank
158,27184877,9133,,99133,99133,"THE COLLECTIVE",IB,,,HDFC
174,27219818,9123,,99123,99123,"TED BAKER",IB,,,HDFC
175,27219819,9158,,99158,99158,"THE COLLECTIVE",IB,,,HDFC
176,27220794,9159,,99159,99159,"FRED PERRY",IB,,,HDFC
190,27231598,9120,,99120,99120,HACKETT,IB,,,HDFC
191,27231599,9020,,99020,99020,HACKETT,IB,,,HDFC
192,27231601,9032,,99032,99032,HACKETT,IB,,,HDFC
193,27231602,9036,,99036,99036,HACKETT,IB,,,HDFC
194,27231603,9102,,99102,99102,HACKETT,IB,,,HDFC
195,27231604,9118,,99118,99118,"TED BAKER",IB,,,HDFC
196,27231605,9110,,99110,99110,"TED BAKER",IB,,,HDFC
197,27231606,9119,,99119,99119,"TED BAKER",IB,,,HDFC
198,27231608,9009,,99009,99009,"THE COLLECTIVE",IB,,,HDFC
199,27231610,9100,,99100,99100,"THE COLLECTIVE",IB,,,HDFC
200,27231611,9024,,99024,99024,"THE COLLECTIVE",IB,,,HDFC
201,27231655,9101,,99101,99101,"THE COLLECTIVE",IB,,,HDFC
202,27231656,9103,,99103,99103,"THE COLLECTIVE",IB,,,HDFC
203,27231660,9124,,99124,99124,"FRED PERRY",IB,,,HDFC
204,27231665,9115,,99115,99115,"RALPH LAUREN",IB,,,HDFC
205,27231666,9117,,99117,99117,"RALPH LAUREN",IB,,,HDFC
206,27234388,9134,,99134,99134,"TED BAKER",IB,,,HDFC
172,27219293,9158,,99158,99158,"THE COLLECTIVE",IB,,,HDFC
185,27227851,9122,,99122,99122,"RALPH LAUREN",IB,,,HDFC
186,27227852,9125,,99125,99125,"RALPH LAUREN",IB,,,HDFC
222,27286449,9009,,99009,99009,"THE COLLECTIVE",IB,,,HDFC
223,27286450,9024,,99024,99024,"THE COLLECTIVE",IB,,,HDFC
224,27286451,9115,,99115,99115,"RALPH LAUREN",IB,,,HDFC
225,27286452,9117,,99117,99117,"RALPH LAUREN",IB,,,HDFC
220,27244180,9164,,99164,99164,"THE COLLECTIVE",IB,,,HDFC
228,27288163,9009,,99009,99009,"THE COLLECTIVE",IB,,,HDFC
236,27298281,9043,,99043,99043,"THE COLLECTIVE",IB,,,HDFC
242,27298302,9100,,99100,99100,"THE COLLECTIVE",IB,,,HDFC
253,27298344,9100,,99100,99100,"THE COLLECTIVE",IB,,,HDFC
254,27298346,9103,,99103,99103,"THE COLLECTIVE",IB,,,HDFC
257,27306290,9216,,99216,99216,"THE COLLECTIVE",IB,,,HDFC
258,27306363,9216,,99216,99216,"THE COLLECTIVE",IB,,,HDFC
259,27307602,5724,,95724,95724,"FRED PERRY",IB,,,HDFC
260,27312738,6065,,96065,96065,"THE COLLECTIVE",IB,,,HDFC
398,41188843,9009,,99009,99009,"THE COLLECTIVE",IB,,,HDFC
399,41188845,9023,,99023,99023,"THE COLLECTIVE",IB,,,HDFC
452,41387236,9023,,99023,99023,"THE COLLECTIVE",IB,,,HDFC
469,41421805,9119,,99119,99119,"TED BAKER",IB,,,HDFC
470,41427152,9120,,99120,99120,HACKETT,IB,,,HDFC
742,42207635,9156,,99156,99156,"THE COLLECTIVE VALUE STORE",IB,,,HDFC
844,42287166,7180,,57180,57180,INNERWEAR,IW,,,HDFC
845,42287167,7183,,57183,57183,INNERWEAR,IW,,,HDFC
846,42287169,7177,,57177,57177,INNERWEAR,IW,,,HDFC
847,42287173,7164,,57164,57164,INNERWEAR,IW,,,HDFC
848,42288348,7147,,57147,57147,INNERWEAR,IW,,,HDFC
849,42288349,7124,,57124,57124,INNERWEAR,IW,,,HDFC
836,42279426,7174,,57174,57174,INNERWEAR,IW,,,HDFC
837,42283976,7157,,57157,57157,INNERWEAR,IW,,,HDFC
838,42283979,7130,,57130,57130,INNERWEAR,IW,,,HDFC
839,42283980,7166,,57166,57166,INNERWEAR,IW,,,HDFC
840,42283982,7159,,57159,57159,INNERWEAR,IW,,,HDFC
862,42304127,7126,,57126,57126,INNERWEAR,IW,,,HDFC
870,42305339,7139,,57139,57139,INNERWEAR,IW,,,HDFC
871,42306872,7162,,57162,57162,INNERWEAR,IW,,,HDFC
872,42307211,7150,,57150,57150,INNERWEAR,IW,,,HDFC
874,42310789,7161,,57161,57161,INNERWEAR,IW,,,HDFC
883,42318609,7116,,57116,57116,INNERWEAR,IW,,,HDFC
885,42319625,7167,,57167,57167,INNERWEAR,IW,,,HDFC
886,42320394,7131,,57131,57131,INNERWEAR,IW,,,HDFC
887,42320634,7184,,57184,57184,INNERWEAR,IW,,,HDFC
888,42320636,7185,,57185,57185,INNERWEAR,IW,,,HDFC
889,42320637,7187,,57187,57187,INNERWEAR,IW,,,HDFC
897,42329347,7165,,57165,57165,INNERWEAR,IW,,,HDFC
898,42334172,7128,,57128,57128,INNERWEAR,IW,,,HDFC
899,42334173,7114,,57114,57114,INNERWEAR,IW,,,HDFC
900,42338758,7168,,57168,57168,INNERWEAR,IW,,,HDFC
901,42343192,7188,,57188,57188,INNERWEAR,IW,,,HDFC
902,42343194,7189,,57189,57189,INNERWEAR,IW,,,HDFC
906,42359813,7115,,57115,57115,INNERWEAR,IW,,,HDFC
915,42366083,7137,,57137,57137,INNERWEAR,IW,,,HDFC
916,42366084,7154,,57154,57154,INNERWEAR,IW,,,HDFC
940,42367940,9008,,99008,99008,"THE COLLECTIVE",IB,,,HDFC
941,42367941,9008,,99008,99008,"THE COLLECTIVE",IB,,,HDFC
942,42367942,9008,,99008,99008,"THE COLLECTIVE",IB,,,HDFC
943,42367943,9134,,99134,99134,"TED BAKER",IB,,,HDFC
956,42367981,9143,,99143,99143,"THE COLLECTIVE",IB,,,HDFC
1121,42372244,9103,,99103,99103,"THE COLLECTIVE",IB,,,HDFC
1151,42372296,9035,,99035,99035,"THE COLLECTIVE",IB,,,HDFC
1169,42372322,9143,,99143,99143,"THE COLLECTIVE",IB,,,HDFC
1364,42379192,7155,,57155,57155,INNERWEAR,IW,,,HDFC
1365,42379193,7192,,57192,57192,INNERWEAR,IW,,,HDFC
1397,42385137,9164,,99164,99164,"THE COLLECTIVE",IB,,,HDFC
1398,42385139,9164,,99164,99164,"THE COLLECTIVE",IB,,,HDFC
1402,42385282,7153,,57153,57153,INNERWEAR,IW,,,HDFC
1403,42385284,7152,,57152,57152,INNERWEAR,IW,,,HDFC
1424,42388836,7199,,57199,57199,INNERWEAR,IW,,,HDFC
1425,42388837,7196,,57196,57196,INNERWEAR,IW,,,HDFC
1426,42388839,7197,,57197,57197,INNERWEAR,IW,,,HDFC
1452,42395052,7100,,57100,57100,INNERWEAR,IW,,,HDFC
1453,42395054,7120,,57120,57120,INNERWEAR,IW,,,HDFC
1454,42395056,7118,,57118,57118,INNERWEAR,IW,,,HDFC
1455,42395059,7111,,57111,57111,INNERWEAR,IW,,,HDFC
1456,42395060,7110,,57110,57110,INNERWEAR,IW,,,HDFC
1457,42395061,7109,,57109,57109,INNERWEAR,IW,,,HDFC
1458,42395062,7108,,57108,57108,INNERWEAR,IW,,,HDFC
1459,42395065,7143,,57143,57143,INNERWEAR,IW,,,HDFC
1460,42395066,7127,,57127,57127,INNERWEAR,IW,,,HDFC
1461,42395069,7133,,57133,57133,INNERWEAR,IW,,,HDFC
1462,42395070,7134,,57134,57134,INNERWEAR,IW,,,HDFC
1463,42395071,7146,,57146,57146,INNERWEAR,IW,,,HDFC
1464,42395072,7129,,57129,57129,INNERWEAR,IW,,,HDFC
1465,42395073,7144,,57144,57144,INNERWEAR,IW,,,HDFC
1466,42395074,7171,,57171,57171,INNERWEAR,IW,,,HDFC
1467,42395076,7163,,57163,57163,INNERWEAR,IW,,,HDFC
1468,42395077,7160,,57160,57160,INNERWEAR,IW,,,HDFC
1469,42395078,7156,,57156,57156,INNERWEAR,IW,,,HDFC
1482,42395562,7190,,57190,57190,INNERWEAR,IW,,,HDFC
1483,42395563,7191,,57191,57191,INNERWEAR,IW,,,HDFC
1484,42395564,7193,,57193,57193,INNERWEAR,IW,,,HDFC
1485,42395565,7194,,57194,57194,INNERWEAR,IW,,,HDFC
1486,42395568,7198,,57198,57198,INNERWEAR,IW,,,HDFC
1487,42395569,7200,,57200,57200,INNERWEAR,IW,,,HDFC
1488,42395570,7217,,57217,57217,INNERWEAR,IW,,,HDFC
1531,42402787,7268,,87268,87268,"INNERWEAR VALUE STORE",IW,,,HDFC
1541,42404200,9122,,99122,99122,"RALPH LAUREN",IB,,,HDFC
1542,42404201,9123,,99123,99123,"TED BAKER",IB,,,HDFC
1579,42411208,7263,,57263,57263,INNERWEAR,IW,,,HDFC
1580,42411209,7267,,57267,57267,INNERWEAR,IW,,,HDFC
1581,42411210,7279,,57279,57279,INNERWEAR,IW,,,HDFC
1582,42411211,7280,,57280,57280,INNERWEAR,IW,,,HDFC
1583,42411213,7291,,57291,57291,INNERWEAR,IW,,,HDFC
1584,42411214,7292,,57292,57292,INNERWEAR,IW,,,HDFC
1585,42411215,7300,,57300,57300,INNERWEAR,IW,,,HDFC
1586,42411216,7299,,57299,57299,INNERWEAR,IW,,,HDFC
1587,42411221,7508,,57508,57508,INNERWEAR,IW,,,HDFC
1588,42411222,7509,,57509,57509,INNERWEAR,IW,,,HDFC
1589,42411226,7513,,57513,57513,INNERWEAR,IW,,,HDFC
1577,42411068,9043,,99043,99043,"THE COLLECTIVE",IB,,,HDFC
1622,42420363,7531,,57531,57531,INNERWEAR,IW,,,HDFC
1623,42420364,7220,,57220,57220,INNERWEAR,IW,,,HDFC
1624,42420365,7528,,57528,57528,INNERWEAR,IW,,,HDFC
1625,42420366,7536,,57536,57536,INNERWEAR,IW,,,HDFC
1645,42422094,7543,,57543,57543,INNERWEAR,IW,,,HDFC
1653,42424611,7551,,57551,57551,INNERWEAR,IW,,,HDFC
1705,42438692,7609,,57609,57609,INNERWEAR,IW,,,HDFC
1706,42438695,7611,,57611,57611,INNERWEAR,IW,,,HDFC
1717,42443881,7625,,57625,57625,INNERWEAR,IW,,,HDFC
1718,42443882,7636,,87636,87636,"INNERWEAR VALUE STORE",IW,,,HDFC
1719,42443887,7638,,57638,57638,INNERWEAR,IW,,,HDFC
1736,42447556,7621,,57621,57621,INNERWEAR,IW,,,HDFC
1737,42447557,7652,,87652,87652,"INNERWEAR VALUE STORE",IW,,,HDFC
1738,42447558,7653,,57653,57653,INNERWEAR,IW,,,HDFC
1760,42453068,7681,,57681,57681,INNERWEAR,IW,,,HDFC
1794,42466120,7724,,57724,57724,INNERWEAR,IW,,,HDFC
1795,42466122,7748,,57748,57748,INNERWEAR,IW,,,HDFC
1818,42471345,7754,,57754,57754,INNERWEAR,IW,,,HDFC
1819,42471346,7758,,57758,57758,INNERWEAR,IW,,,HDFC
1824,42471921,7749,,57749,57749,INNERWEAR,IW,,,HDFC
1838,42474710,7761,,57761,57761,INNERWEAR,IW,,,HDFC
1839,42474714,7774,,57774,57774,INNERWEAR,IW,,,HDFC
1853,42482634,7784,,57784,57784,INNERWEAR,IW,,,HDFC
1854,42482637,7782,,57782,57782,INNERWEAR,IW,,,HDFC
1855,42482640,7791,,57791,57791,INNERWEAR,IW,,,HDFC
1856,42482641,7787,,57787,57787,INNERWEAR,IW,,,HDFC
1857,42482643,7792,,57792,57792,INNERWEAR,IW,,,HDFC
1858,42482644,7794,,57794,57794,INNERWEAR,IW,,,HDFC
1859,42483242,1516,,91516,91516,"THE COLLECTIVE",IB,,,HDFC
1892,42492054,7816,,57816,57816,INNERWEAR,IW,,,HDFC
1893,42492056,7815,,57815,57815,INNERWEAR,IW,,,HDFC
1896,42493918,9201,,99201,99201,"THE COLLECTIVE",IB,,,HDFC
1916,42496746,7832,,57832,57832,INNERWEAR,IW,,,HDFC
1917,42496747,7833,,57833,57833,INNERWEAR,IW,,,HDFC
1918,42496748,7838,,57838,57838,INNERWEAR,IW,,,HDFC
1919,42496750,7839,,57839,57839,INNERWEAR,IW,,,HDFC
1920,42496753,7840,,57840,57840,INNERWEAR,IW,,,HDFC
1922,42499751,7845,,57845,57845,INNERWEAR,IW,,,HDFC
1923,42499753,7847,,57847,57847,INNERWEAR,IW,,,HDFC
1924,42499755,7848,,57848,57848,INNERWEAR,IW,,,HDFC
1925,42499756,7850,,57850,57850,INNERWEAR,IW,,,HDFC
1950,42509350,9008,,99008,99008,"THE COLLECTIVE",IB,,,HDFC
1951,42509351,9143,,99143,99143,"THE COLLECTIVE",IB,,,HDFC
1952,42509452,9201,,99201,99201,"THE COLLECTIVE",IB,,,HDFC
1953,42509453,9201,,99201,99201,"THE COLLECTIVE",IB,,,HDFC
1960,42511620,7867,,57867,57867,INNERWEAR,IW,,,HDFC
1961,42511621,7883,,57883,57883,INNERWEAR,IW,,,HDFC
1962,42511622,7887,,57887,57887,INNERWEAR,IW,,,HDFC
1963,42511625,7890,,57890,57890,INNERWEAR,IW,,,HDFC
1976,42516013,9009,,99009,99009,"THE COLLECTIVE",IB,,,HDFC
1983,42517982,7899,,57899,57899,INNERWEAR,IW,,,HDFC
2125,42552249,9204,,99204,99204,"THE COLLECTIVE VALUE STORE",IB,,,HDFC
2160,42561308,9160,,99160,99160,"RALPH LAUREN",IB,,,HDFC
2161,42561309,9160,,99160,99160,"RALPH LAUREN",IB,,,HDFC
2203,42573579,7064,,57064,57064,INNERWEAR,IW,,,HDFC
2204,42573580,7065,,57065,57065,INNERWEAR,IW,,,HDFC
2205,42573581,7505,,57505,57505,INNERWEAR,IW,,,HDFC
2300,42577943,9043,,99043,99043,"THE COLLECTIVE",IB,,,HDFC
2318,42577971,9035,,99035,99035,"THE COLLECTIVE",IB,,,HDFC
2345,42578006,9133,,99133,99133,"THE COLLECTIVE",IB,,,HDFC
2350,42578013,9043,,99043,99043,"THE COLLECTIVE",IB,,,HDFC
