"Total Count: ",5559
"Matched Count: ",5381
"Not Matched Count: ",178

,,,,,,Total,42720053.71,43235819.71,.00,-515766.00
"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,Status,"Wallet Sale","Deposit Amount","Store Response Entry","Difference [Sale - Deposit - Store Response]","Pending Difference","Reconcilied Difference"
22-08-2024,22-08-2024,1043,41043,"PLANET FASHION","WALLET PHONEPAY",Matched,8335.00,8335.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,1105,41105,"PLANET FASHION","WALLET PHONEPAY",Matched,10000.00,10000.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,1118,21118,"VAN HEUSEN","WALLET PHONEPAY",Matched,2549.15,2549.15,0.00,0.00,0.00,
22-08-2024,22-08-2024,1234,41234,"PLANET FASHION","WALLET PHONEPAY",Matched,3918.60,3918.60,0.00,0.00,0.00,
22-08-2024,22-08-2024,1270,41270,"PLANET FASHION","WALLET PHONEPAY",Matched,2338.60,2338.60,0.00,0.00,0.00,
22-08-2024,22-08-2024,1577,21577,"VAN HEUSEN","WALLET PHONEPAY",Matched,22196.00,22196.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,2446,42446,"PLANET FASHION","WALLET PHONEPAY",Matched,1839.20,1839.20,0.00,0.00,0.00,
22-08-2024,22-08-2024,2490,42490,"PLANET FASHION","WALLET PHONEPAY",Matched,12400.00,12400.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,2562,62562,"PE BLUE","WALLET PHONEPAY",Matched,4369.00,4369.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,2575,62575,"PE BLUE","WALLET PHONEPAY",Matched,1199.00,1199.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,2577,62577,"PE BLUE","WALLET PHONEPAY",Matched,8184.30,8184.30,0.00,0.00,0.00,
22-08-2024,22-08-2024,2977,32977,"ALLEN SOLLY","WALLET PHONEPAY",Matched,2697.00,2697.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3097,13097,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,8298.00,8298.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3354,13354,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,2994.00,2994.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3380,13380,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,7348.00,7348.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3436,43436,"PLANET FASHION","WALLET PHONEPAY",Matched,5170.00,5170.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3616,63616,"PE BLUE","WALLET PHONEPAY",Matched,98.00,98.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3618,63618,"PE RED","WALLET PHONEPAY",Matched,6095.00,6095.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3669,63669,"PE RED","WALLET PHONEPAY",Matched,3398.00,3398.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3673,63673,"PE RED","WALLET PHONEPAY",Matched,10001.00,10001.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3696,63696,"PE RED","WALLET PHONEPAY",Matched,999.00,999.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3721,13721,"LOUIS PHILIPPE","WALLET PHONEPAY","Not Matched",23407.35,31777.35,0.00,-8370.00,-8370.00,
22-08-2024,22-08-2024,3735,13735,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,2499.00,2499.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3743,13743,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,9867.00,9867.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3801,63801,"PE RED","WALLET PHONEPAY",Matched,1998.00,1998.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3811,63811,"PE RED","WALLET PHONEPAY",Matched,1395.00,1395.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3812,63812,"PE RED","WALLET PHONEPAY",Matched,6296.00,6296.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3817,63817,"PE RED","WALLET PHONEPAY",Matched,3397.00,3397.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3825,63825,"PE RED","WALLET PHONEPAY",Matched,23980.40,23980.40,0.00,0.00,0.00,
22-08-2024,22-08-2024,3831,63831,"PE RED","WALLET PHONEPAY",Matched,97.00,97.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3834,63834,"PE RED","WALLET PHONEPAY",Matched,4695.00,4695.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3843,63843,"PE RED","WALLET PHONEPAY",Matched,999.00,999.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3845,63845,"PE RED","WALLET PHONEPAY",Matched,6395.00,6395.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3852,63852,"PE RED","WALLET PHONEPAY",Matched,3796.00,3796.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3866,63866,"PE RED","WALLET PHONEPAY",Matched,13717.00,13717.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3876,63876,"PE RED","WALLET PHONEPAY",Matched,1599.00,1599.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3884,63884,"PE RED","WALLET PHONEPAY",Matched,1599.00,1599.00,0.00,0.00,0.00,
22-08-2024,22-08-2024,3888,63888,"PE BLUE","WALLET PHONEPAY",Matched,11004.90,11004.90,0.00,0.00,0.00,
