"Sales Date","Deposit Date","Store ID","Retek Code",Brand,"Bank Drop ID","Tender Amount","BankDrop Amount","Deposit Amount","Tender Difference[Tender-Deposit]","Pending Difference","Reconcilied Difference",Status,"Reconciliation Status"
01-04-2024,02-04-2024,1004,41004,"PLANET FASHION",4100400488,22078.00,37430.00,37430.00,-15352.00,-15352.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1005,41005,"PLANET FASHION",4100500436,4546.00,38620.00,38620.00,-34074.00,-34074.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1119,,"VAN HEUSEN",2111900294,.00,24480.00,24480.00,-24480.00,-24480.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1143,41143,"PLANET FASHION",4114300419,6937.00,29060.00,29060.00,-22123.00,-22123.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1161,11161,"LOUIS PHILIPPE",1116100458,2899.00,7900.00,7900.00,-5001.00,-5001.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1165,21165,"VAN HEUSEN",2116500542,25128.00,30300.00,30300.00,-5172.00,-5172.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1179,11179,"LOUIS PHILIPPE",1117900397,1999.00,28500.00,28500.00,-26501.00,-26501.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1199,11199,"LOUIS PHILIPPE",1119900383,5978.00,12000.00,12000.00,-6022.00,-6022.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1228,,"ALLEN SOLLY",3122800299,.00,4100.00,4100.00,-4100.00,-4100.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1237,41237,"PLANET FASHION",4123700583,6336.00,3340.00,3340.00,2996.00,2996.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1505,61505,"PE BLUE",6150500374,14.00,5670.00,5670.00,-5656.00,-5656.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1506,61506,"PE BLUE",6150600283,2499.00,2000.00,2000.00,499.00,499.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1510,61510,"PE BLUE",6151000411,7105.00,43800.00,43800.00,-36695.00,-36695.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1530,11530,"LOUIS PHILIPPE",1153000357,9654.00,9550.00,9550.00,104.00,104.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1630,51630,"AMERICAN EAGLE",5163000257,6969.00,6770.00,6770.00,199.00,199.00,,"Not Matched",Pending
01-04-2024,02-04-2024,1992,31992,"ALLEN SOLLY",3199200681,31313.00,38000.00,38000.00,-6687.00,-6687.00,,"Not Matched",Pending
01-04-2024,02-04-2024,2106,42106,"PLANET FASHION",4210600549,30984.00,136120.00,136120.00,-105136.00,-105136.00,,"Not Matched",Pending
01-04-2024,02-04-2024,2197,42197,"PLANET FASHION",4219700506,6999.00,23260.00,23260.00,-16261.00,-16261.00,,"Not Matched",Pending
01-04-2024,02-04-2024,2205,22205,"VAN HEUSEN",2220500699,25336.00,25660.00,25660.00,-324.00,-324.00,,"Not Matched",Pending
01-04-2024,02-04-2024,2662,62662,"PE BLUE",6266200526,2589.00,1500.00,1500.00,1089.00,1089.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3041,13041,"LOUIS PHILIPPE",1304100687,44686.00,104230.00,104230.00,-59544.00,-59544.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3354,13354,"LOUIS PHILIPPE",1335400066,109040.00,19880.00,19880.00,89160.00,89160.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3436,43436,"PLANET FASHION",4343600238,15254.00,37700.00,37700.00,-22446.00,-22446.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3503,53503,"SIMON CARTER",5350300724,17185.00,61560.00,61560.00,-44375.00,-44375.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3516,53516,"SIMON CARTER",5351600042,15394.00,15500.00,15500.00,-106.00,-106.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3632,63632,"PE RED",6363200623,129.00,5770.00,5770.00,-5641.00,-5641.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3647,63647,"PE RED",6364700651,2239.00,2040.00,2040.00,199.00,199.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3666,63666,"PE BLUE",6366600681,20265.00,20100.00,20100.00,165.00,165.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3672,63672,"PE BLUE",6367200603,10384.00,10500.00,10500.00,-116.00,-116.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3774,13774,"LOUIS PHILIPPE",1377400712,32333.00,32550.00,32550.00,-217.00,-217.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3910,63910,"PE RED",6391000430,2747.00,8250.00,8250.00,-5503.00,-5503.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3913,63913,"PE RED",6391300332,12408.00,27640.00,27640.00,-15232.00,-15232.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3919,63919,"PE RED",6391900463,3697.00,19600.00,19600.00,-15903.00,-15903.00,,"Not Matched",Pending
01-04-2024,02-04-2024,3925,63925,"PE RED",6392500362,7295.00,22500.00,22500.00,-15205.00,-15205.00,,"Not Matched",Pending
01-04-2024,05-04-2024,3946,63946,"PE BLUE",6394600218,3186.00,4000.00,4000.00,-814.00,-814.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4411,84411,"PEM VALUE STORE",8441100515,6897.00,7600.00,7600.00,-703.00,-703.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4436,84436,"VAN HEUSEN VALUE STORE",8443600453,1797.00,2000.00,2000.00,-203.00,-203.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4442,84442,"ALLEN SOLLY VALUE STORE",8444200650,45165.00,45000.00,45000.00,165.00,165.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4444,84444,"VAN HEUSEN VALUE STORE",8444400042,3298.00,67120.00,67120.00,-63822.00,-63822.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4472,84472,"ALLEN SOLLY VALUE STORE",8447200059,1500.00,36340.00,36340.00,-34840.00,-34840.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4483,84483,"LOUIS PHILIPPE VALUE STORE",8448300418,9896.00,35240.00,35240.00,-25344.00,-25344.00,,"Not Matched",Pending
01-04-2024,03-04-2024,4553,34553,"ALLEN SOLLY",3455300561,2799.00,4400.00,4400.00,-1601.00,-1601.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4576,34576,"ALLEN SOLLY",3457600646,3139.00,2600.00,2600.00,539.00,539.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4848,,"VAN HEUSEN VALUE STORE",8484800427,.00,17630.00,17630.00,-17630.00,-17630.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4873,84873,"PEM VALUE STORE",8487300433,24133.00,78660.00,78660.00,-54527.00,-54527.00,,"Not Matched",Pending
01-04-2024,02-04-2024,4895,34895,"ALLEN SOLLY",3489500696,69040.00,32020.00,32020.00,37020.00,37020.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5342,15342,"LOUIS PHILIPPE",1534200623,12545.00,103500.00,103500.00,-90955.00,-90955.00,,"Not Matched",Pending
01-04-2024,04-04-2024,5370,15370,"LOUIS PHILIPPE",1537000614,12745.00,17100.00,17100.00,-4355.00,-4355.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5386,15386,"LOUIS PHILIPPE",1538600673,11374.00,11500.00,11500.00,-126.00,-126.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5476,65476,"PE RED",6547600223,3726.00,7550.00,7550.00,-3824.00,-3824.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5492,85492,"VAN HEUSEN VALUE STORE",8549200136,9015.00,35200.00,35200.00,-26185.00,-26185.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5511,85511,"VAN HEUSEN VALUE STORE",8551100205,6198.00,11000.00,11000.00,-4802.00,-4802.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5525,45525,"PLANET FASHION",4552500139,471.00,2500.00,2500.00,-2029.00,-2029.00,,"Not Matched",Pending
01-04-2024,03-04-2024,5539,35539,"AS PRIME",3553900216,3977.00,3000.00,3000.00,977.00,977.00,,"Not Matched",Pending
01-04-2024,08-04-2024,5566,65566,"PE RED",6556600188,5606.00,6000.00,6000.00,-394.00,-394.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5585,65585,"PE RED",6558500183,9394.00,28630.00,28630.00,-19236.00,-19236.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5590,85590,"VAN HEUSEN VALUE STORE",8559000214,27302.00,18500.00,18500.00,8802.00,8802.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5629,85629,"VAN HEUSEN VALUE STORE",8562900066,7346.00,51650.00,51650.00,-44304.00,-44304.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5711,25711,"VH GOLD",2571100126,2797.00,1110.00,1110.00,1687.00,1687.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5798,35798,"ALLEN SOLLY",3579800073,4298.00,4000.00,4000.00,298.00,298.00,,"Not Matched",Pending
01-04-2024,03-04-2024,5847,65847,"PE RED",6584700031,999.00,20000.00,20000.00,-19001.00,-19001.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5848,65848,"PE RED",6584800029,8953.00,25270.00,25270.00,-16317.00,-16317.00,,"Not Matched",Pending
01-04-2024,05-04-2024,5854,15854,"LOUIS PHILIPPE",1585400038,2499.00,7000.00,7000.00,-4501.00,-4501.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5856,85856,"ALLEN SOLLY VALUE STORE",8585600041,21885.00,50050.00,50050.00,-28165.00,-28165.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5874,85874,"VAN HEUSEN VALUE STORE",8587400018,69.00,28200.00,28200.00,-28131.00,-28131.00,,"Not Matched",Pending
01-04-2024,02-04-2024,5895,65895,"PE RED",6589500018,1998.00,16700.00,16700.00,-14702.00,-14702.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6033,86033,"LOUIS PHILIPPE VALUE STORE",8603300408,17545.00,25090.00,25090.00,-7545.00,-7545.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6062,86062,"LOUIS PHILIPPE VALUE STORE",8606200344,5610.00,60400.00,60400.00,-54790.00,-54790.00,,"Not Matched",Pending
01-04-2024,12-04-2024,6153,86153,"ALLEN SOLLY VALUE STORE",8615300620,8796.00,8500.00,8500.00,296.00,296.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6154,66154,"PE RED",6615400183,1424.00,39160.00,39160.00,-37736.00,-37736.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6227,66227,"PE RED",6622700524,1599.00,5100.00,5100.00,-3501.00,-3501.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6243,66243,"PE RED",6624300404,9193.00,12800.00,12800.00,-3607.00,-3607.00,,"Not Matched",Pending
01-04-2024,04-04-2024,6265,66265,"PE RED",6626500503,999.00,700.00,700.00,299.00,299.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6269,,"PE RED",6626900499,.00,23030.00,23030.00,-23030.00,-23030.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6384,66384,"PE RED",6638400547,11692.00,7390.00,7390.00,4302.00,4302.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6453,,"PE BLUE",6645300463,.00,16200.00,16200.00,-16200.00,-16200.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6454,66454,"PE BLUE",6645400322,10230.00,18020.00,18020.00,-7790.00,-7790.00,,"Not Matched",Pending
01-04-2024,03-04-2024,6511,66511,"PE BLUE",6651100476,2499.00,3200.00,3200.00,-701.00,-701.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6553,66553,"PE RED",6655300309,2196.00,23330.00,23330.00,-21134.00,-21134.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6778,86778,"PEM VALUE STORE",8677800386,14668.00,34550.00,34550.00,-19882.00,-19882.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6780,16780,"LOUIS PHILIPPE",1678000529,30375.00,32810.00,32810.00,-2435.00,-2435.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6791,86791,"VAN HEUSEN VALUE STORE",8679100649,35540.00,35140.00,35140.00,400.00,400.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6821,36821,"ALLEN SOLLY",3682100666,5072.00,4800.00,4800.00,272.00,272.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6905,86905,"VAN HEUSEN VALUE STORE",8690500678,32084.00,31080.00,31080.00,1004.00,1004.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6928,26928,"VH GOLD",2692800430,7995.00,121280.00,121280.00,-113285.00,-113285.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6946,16946,"LOUIS PHILIPPE",1694600510,76282.00,73500.00,73500.00,2782.00,2782.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6970,86970,"PEM VALUE STORE",8697000413,10978.00,18700.00,18700.00,-7722.00,-7722.00,,"Not Matched",Pending
01-04-2024,02-04-2024,6996,86996,"VAN HEUSEN VALUE STORE",8699600470,20655.00,62300.00,62300.00,-41645.00,-41645.00,,"Not Matched",Pending
01-04-2024,03-04-2024,7012,17012,"LOUIS PHILIPPE",1701200260,2499.00,3000.00,3000.00,-501.00,-501.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7031,67031,"PE RED",6703100297,7820.00,11790.00,11790.00,-3970.00,-3970.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7059,27059,"VH GOLD",2705900205,4300.00,26300.00,26300.00,-22000.00,-22000.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7074,27074,"VH GOLD",2707400215,3997.00,15500.00,15500.00,-11503.00,-11503.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7080,67080,"PE BLUE",6708000179,5595.00,22600.00,22600.00,-17005.00,-17005.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7081,67081,"PE BLUE",6708100104,4398.00,12200.00,12200.00,-7802.00,-7802.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7270,87270,"VAN HEUSEN VALUE STORE",8727000371,10496.00,32790.00,32790.00,-22294.00,-22294.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7287,27287,"VAN HEUSEN",2728700500,7422.00,7920.00,7920.00,-498.00,-498.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7537,27537,"VH GOLD",2753700304,4097.00,33500.00,33500.00,-29403.00,-29403.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7548,67548,"PE RED",6754800458,2306.00,14300.00,14300.00,-11994.00,-11994.00,,"Not Matched",Pending
