"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,"Wallet Sale","Deposit Amount",Difference[Sale-Deposit],"Pending Difference","Reconcilied Difference",Status,"Reconciliation Status"
01-04-2024,01-04-2024,2446,42446,"PLANET FASHION","WALLET PHONEPAY",.00,5993.60,-5993.60,-5993.60,,"Not Matched",Pending
01-04-2024,01-04-2024,2891,62891,"PE RED","WALLET PHONEPAY",9.00,1508.18,-1499.18,-1499.18,,"Not Matched",Pending
01-04-2024,01-04-2024,3835,63835,"PE BLUE","WALLET PHONEPAY",10596.00,15845.00,-5249.00,-5249.00,,"Not Matched",Pending
01-04-2024,01-04-2024,3888,63888,"PE BLUE","WALLET PHONEPAY",369.00,5367.00,-4998.00,-4998.00,,"Not Matched",Pending
01-04-2024,01-04-2024,5527,15527,"LOUIS PHILIPPE","WALLET PHONEPAY",32993.00,34387.00,-1394.00,-1394.00,,"Not Matched",Pending
01-04-2024,01-04-2024,5863,15863,"LP ALL STAR","WALLET PHONEPAY",5695.00,10093.00,-4398.00,-4398.00,,"Not Matched",Pending
01-04-2024,01-04-2024,6214,66214,"PE RED","WALLET PHONEPAY",12989.16,14988.23,-1999.07,-1999.07,,"Not Matched",Pending
01-04-2024,01-04-2024,6269,66269,"PE RED","WALLET PHONEPAY",.00,987.56,-987.56,-987.56,,"Not Matched",Pending
01-04-2024,01-04-2024,6393,66393,"PE BLUE","WALLET PHONEPAY",27442.60,40240.90,-12798.30,-12798.30,,"Not Matched",Pending
01-04-2024,01-04-2024,6757,86757,"LOUIS PHILIPPE VALUE STORE","WALLET PHONEPAY",17890.25,22088.75,-4198.50,-4198.50,,"Not Matched",Pending
01-04-2024,01-04-2024,8446,78446,"FOREVER 21","WALLET PHONEPAY",.00,4695.00,-4695.00,-4695.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9421,59421,"AMERICAN EAGLE","WALLET PHONEPAY",.00,22440.75,-22440.75,-22440.75,,"Not Matched",Pending
01-04-2024,01-04-2024,9650,29650,"VAN HEUSEN","WALLET PHONEPAY",1099.00,1699.00,-600.00,-600.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9701,59701,"AMERICAN EAGLE","WALLET PHONEPAY",.00,19992.00,-19992.00,-19992.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9704,59704,"AMERICAN EAGLE","WALLET PHONEPAY",.00,8397.75,-8397.75,-8397.75,,"Not Matched",Pending
02-04-2024,02-04-2024,1022,41022,"PLANET FASHION","WALLET PHONEPAY",5249.25,10498.50,-5249.25,-5249.25,,"Not Matched",Pending
02-04-2024,02-04-2024,1097,11097,"LOUIS PHILIPPE","WALLET PHONEPAY",10597.00,14095.00,-3498.00,-3498.00,,"Not Matched",Pending
02-04-2024,02-04-2024,1233,21233,"VAN HEUSEN","WALLET PHONEPAY",9978.80,15076.80,-5098.00,-5098.00,,"Not Matched",Pending
02-04-2024,02-04-2024,2977,32977,"ALLEN SOLLY","WALLET PHONEPAY",15895.00,17694.00,-1799.00,-1799.00,,"Not Matched",Pending
