"Total Count: ",16540
"Matched Count: ",15292
"Not Matched Count: ",1248

,,,,,,Total,136886262.31,138452984.35,.00,-1566722.04
"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,Status,"Wallet Sale","Deposit Amount","Store Response Entry","Difference [Sale - Deposit - Store Response]","Pending Difference","Reconcilied Difference"
01-04-2024,01-04-2024,1022,41022,"PLANET FASHION","WALLET PHONEPAY",Matched,1.59,1.59,0.00,0.00,0.00,
01-04-2024,01-04-2024,1063,11063,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,5998.00,5998.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,1149,31149,"ALLEN SOLLY","WALLET PHONEPAY",Matched,17393.00,17393.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,1176,41176,"PLANET FASHION","WALLET PHONEPAY",Matched,5598.00,5598.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,1266,41266,"PLANET FASHION","WALLET PHONEPAY",Matched,10696.00,10696.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,1404,61404,"PE BLUE","WALLET PHONEPAY",Matched,7296.00,7296.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,1574,21574,"VAN HEUSEN","WALLET PHONEPAY",Matched,195.00,195.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,1577,21577,"VAN HEUSEN","WALLET PHONEPAY",Matched,2599.00,2599.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,1817,41817,"PLANET FASHION","WALLET PHONEPAY",Matched,11628.50,11628.50,0.00,0.00,0.00,
01-04-2024,01-04-2024,2318,62318,"PE BLUE","WALLET PHONEPAY",Matched,5.99,5.99,0.00,0.00,0.00,
01-04-2024,01-04-2024,2446,42446,"PLANET FASHION","WALLET PHONEPAY","Not Matched",0.00,5993.60,0.00,-5993.60,-5993.60,
01-04-2024,01-04-2024,2447,42447,"PLANET FASHION","WALLET PHONEPAY",Matched,2498.00,2498.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,2490,42490,"PLANET FASHION","WALLET PHONEPAY",Matched,2399.00,2399.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,2556,62556,"PE BLUE","WALLET PAYTM",Matched,11143.00,11143.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,2577,62577,"PE BLUE","WALLET PHONEPAY",Matched,19889.30,19889.30,0.00,0.00,0.00,
01-04-2024,01-04-2024,2591,62591,"PE BLUE","WALLET PHONEPAY",Matched,4298.00,4298.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,2614,62614,"PE BLUE","WALLET PHONEPAY",Matched,6706.60,6706.60,0.00,0.00,0.00,
01-04-2024,01-04-2024,2662,62662,"PE BLUE","WALLET PHONEPAY",Matched,4498.00,4498.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,2805,62805,"PE BLUE","WALLET PHONEPAY",Matched,6747.00,6747.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,2891,62891,"PE RED","WALLET PHONEPAY","Not Matched",9.00,1508.18,0.00,-1499.18,-1499.18,
01-04-2024,01-04-2024,2977,32977,"ALLEN SOLLY","WALLET PHONEPAY",Matched,17084.00,17084.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,2995,32995,"ALLEN SOLLY","WALLET PHONEPAY",Matched,8696.00,8696.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3050,13050,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,2199.00,2199.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3094,13094,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,8347.50,8347.50,0.00,0.00,0.00,
01-04-2024,01-04-2024,3242,13242,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,2999.00,2999.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3265,13265,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,10656.80,10656.80,0.00,0.00,0.00,
01-04-2024,01-04-2024,3268,13268,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,19094.29,19094.29,0.00,0.00,0.00,
01-04-2024,01-04-2024,3303,13303,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,17394.00,17394.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3314,13314,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,9746.60,9746.60,0.00,0.00,0.00,
01-04-2024,01-04-2024,3354,13354,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,6258.75,6258.75,0.00,0.00,0.00,
01-04-2024,01-04-2024,3375,13375,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,2399.00,2399.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3376,13376,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,28989.00,28989.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,3379,13379,"LOUIS PHILIPPE","WALLET PHONEPAY",Matched,12196.00,12196.00,0.00,0.00,0.00,
