"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
25-05-2024,24-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41460806715,57549.46,57549.46,.00,0.00,"Stores: 1043,1266,1270,2446,2447,2490,3427,3430,3436"
25-05-2024,24-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41460187737,524556.39,524556.41,.00,0.02,"Stores: 1228,1241,2977,2995,3731,4521,4533,4539,4573,4576,4585,4592,4823,4862,4871,4872,4876,4884,4887,4889,4890,4988,5528,5536,5638,5739,5780,5793,6443,6580,6596,6629,6633,6634,6691,6701,6703,6721,6736,6758,6759,6762,6823,6829,6868,6910,6914,6921,6945,6962,6975,7060,7066,7082,7091,7524,7562,7582,7617,7622,7643,7668,7685,7822,7855,7858,7917,9426,9475,9654,9735,9745,9754,9805,9882,9897,9951"
24-05-2024,23-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41450186480,544621.90,544621.91,.00,0.01,"Stores: 1227,2977,3731,4521,4533,4539,4573,4576,4585,4812,4823,4831,4842,4862,4866,4871,4876,4884,4887,4889,4890,4893,4988,5528,5529,5530,5531,5536,5538,5620,5638,5692,5714,5779,6512,6596,6629,6634,6664,6701,6721,6734,6736,6758,6759,6762,6823,6829,6832,6856,6910,6914,6921,6945,6975,7082,7085,7091,7524,7582,7617,7618,7622,7643,7668,7822,7853,7855,7858,7917,7936,9426,9648,9654,9754,9862,9882,9897,9929,9951"
24-05-2024,23-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41450801419,95829.70,95829.70,.00,0.00,"Stores: 1001,1039,1043,1266,1615,1817,2446,2447,2459,2490,3436"
24-05-2024,23-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM14590225564,18555.70,18555.70,.00,0.00,"Stores: 6313,6386"
24-05-2024,23-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM14586121707,1398.00,1398.00,.00,0.00,
24-05-2024,23-05-2024,9704,59704,"WALLET PHONEPAY",Matched,YESPH41451766407,19395.00,19395.00,.00,0.00,"Stores: 9421,9701,9702,9704"
24-05-2024,23-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41451766307,731676.13,738369.14,.00,6693.01,"Stores: 1510,2562,2574,2577,2591,2662,3616,3618,3662,3669,3673,3674,3678,3690,3696,3697,3698,3812,3816,3817,3834,3842,3858,3866,3876,3888,3889,3891,3909,3910,3912,3917,3919,3924,3931,3935,3938,3950,3951,3961,3962,3964,3980,3983,3985,3986,3990,3992,5476,5585,5610,5682,5683,5760,5786,5843,5894,5982,6021,6036,6046,6053,6054,6056,6071,6092,6101,6106,6111,6112,6119,6130,6134,6140,6143,6159,6160,6188,6208,6225,6227,6229,6241,6243,6257,6265,6282,6283,6284,6286,6346,6359,6366,6371,6384,6392,6400,6423,6465,6511,6536,6542,6543,6553,6555,6556,6563,6570,6571,6575,6594,6628,6662,6675,6689,6716,6731,6742,6747,6816,6833,6842,6911,7019,7041,7051,7055,7093,7212,7255,7265,7266,7563,7614,7711,7714,7715,7760,7771,7829,7859,7872,7880,7913,9454,9771,9792,9794,9800,9823,9872"
23-05-2024,22-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41441813133,608756.38,622640.39,.00,13884.01,"Stores: 1404,1515,2562,2577,2591,2827,3611,3616,3662,3669,3673,3678,3690,3696,3697,3811,3812,3816,3834,3845,3852,3854,3876,3888,3889,3891,3895,3900,3902,3909,3910,3917,3918,3919,3922,3924,3927,3931,3935,3938,3950,3961,3963,3964,3978,3980,3983,3985,3986,3990,3994,3995,5476,5579,5585,5610,5611,5682,5683,5786,5843,5894,5982,6011,6021,6036,6037,6044,6053,6054,6056,6076,6096,6106,6110,6111,6119,6121,6134,6140,6159,6160,6163,6170,6173,6189,6208,6214,6227,6243,6265,6269,6346,6352,6357,6359,6364,6371,6376,6384,6388,6392,6395,6400,6465,6467,6536,6542,6543,6553,6555,6556,6563,6570,6571,6575,6594,6632,6643,6675,6689,6716,6722,6731,6741,6795,6842,6911,7019,7051,7255,7266,7529,7563,7714,7715,7760,7763,7829,7859,7913,9448,9454,9771,9872"
