"Credit Date","Deposit Date","Reference Number","Transaction Branch",Description,Debit,Credit
29-06-2024,29-06-2024,,,"NEFT/IDFBH24181178833/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",119800.00,0.00
29-06-2024,29-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,54100.00
28-06-2024,28-06-2024,,,"NEFT/IDFBH24180977717/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",39000.00,0.00
28-06-2024,28-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,119800.00
27-06-2024,27-06-2024,,,"NEFT/IDFBH24179798050/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",26200.00,0.00
27-06-2024,27-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,39000.00
26-06-2024,26-06-2024,,,"NEFT/IDFBH24178631466/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",43850.00,0.00
26-06-2024,26-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,26200.00
25-06-2024,25-06-2024,,,"NEFT/IDFBH24177461625/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",268280.00,0.00
25-06-2024,25-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,43850.00
24-06-2024,24-06-2024,,,"NEFT/IDFBH24176293734/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",211400.00,0.00
24-06-2024,24-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,268280.00
21-06-2024,21-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,211400.00
19-06-2024,19-06-2024,,,"NEFT/IDFBH24171637436/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",337580.00,0.00
18-06-2024,18-06-2024,,,"NEFT/IDFBH24170415814/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",133550.00,0.00
18-06-2024,18-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,337580.00
15-06-2024,15-06-2024,,,"NEFT/IDFBH24167985166/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",112700.00,0.00
15-06-2024,15-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,133550.00
14-06-2024,14-06-2024,,,"NEFT/IDFBH24166744029/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",22400.00,0.00
14-06-2024,14-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,112700.00
13-06-2024,13-06-2024,,,"NEFT/IDFBH24165493130/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",76250.00,0.00
13-06-2024,13-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,22400.00
12-06-2024,12-06-2024,,,"NEFT/IDFBH24164245158/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",17400.00,0.00
12-06-2024,12-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,76250.00
11-06-2024,11-06-2024,,,"NEFT/IDFBH24163959952/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",195700.00,0.00
11-06-2024,11-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,17400.00
10-06-2024,10-06-2024,,,"NEFT/IDFBH24162667660/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",49000.00,0.00
10-06-2024,10-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,195700.00
07-06-2024,07-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,49000.00
06-06-2024,06-06-2024,,,"NEFT/IDFBH24158832343/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",17400.00,0.00
05-06-2024,05-06-2024,,,"NEFT/IDFBH24157599320/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",10500.00,0.00
05-06-2024,05-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,17400.00
04-06-2024,04-06-2024,,,"NEFT/IDFBH24156287527/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",200100.00,0.00
04-06-2024,04-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,10500.00
03-06-2024,03-06-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,200100.00
01-06-2024,01-06-2024,,,"NEFT/IDFBH24153687406/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",22000.00,0.00
31-05-2024,31-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,22000.00
31-05-2024,31-05-2024,,,"NEFT/IDFBH24152323308/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",37000.00,0.00
30-05-2024,30-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,37000.00
30-05-2024,30-05-2024,,,"NEFT/IDFBH24151100848/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",120900.00,0.00
29-05-2024,29-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,120900.00
29-05-2024,29-05-2024,,,"NEFT/IDFBH24150889021/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",21500.00,0.00
28-05-2024,28-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,21500.00
28-05-2024,28-05-2024,,,"NEFT/IDFBH24149623270/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",270300.00,0.00
27-05-2024,27-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,270300.00
24-05-2024,24-05-2024,,,"NEFT/IDFBH24145961274/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",86400.00,0.00
23-05-2024,23-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,22400.00
22-05-2024,22-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,64000.00
22-05-2024,22-05-2024,,,"NEFT/IDFBH24143633456/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",128159.00,0.00
21-05-2024,21-05-2024,,,AMRITSAR~CASH~ABFRL~,0.00,25962.00
21-05-2024,21-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,21900.00
21-05-2024,21-05-2024,,,"HYDERABAD CASH DEPOSIT~CASH~ABFRL~",0.00,31510.00
21-05-2024,21-05-2024,,,INDORE~CASH~ABFRL~,0.00,30710.00
21-05-2024,21-05-2024,,,JALPAIGURI~CASH~ABFRL~,0.00,18077.00
21-05-2024,21-05-2024,,,"NEFT/IDFBH24142448339/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",1001179.00,0.00
20-05-2024,20-05-2024,,,AMRITSAR~CASH~ABFRL~,0.00,64057.00
20-05-2024,20-05-2024,,,"BANGALORE FOR CASH BURIAL~CASH~ABFRL~",0.00,78530.00
20-05-2024,20-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,222900.00
20-05-2024,20-05-2024,,,"CHENNAI CASH FOR BURIAL / PB~CASH~ABFRL~",0.00,97290.00
20-05-2024,20-05-2024,,,"DELHI FOR CASH BURIAL~CASH~ABFRL~",0.00,228310.00
20-05-2024,20-05-2024,,,"HYDERABAD CASH DEPOSIT~CASH~ABFRL~",0.00,37020.00
20-05-2024,20-05-2024,,,INDORE~CASH~ABFRL~,0.00,68490.00
20-05-2024,20-05-2024,,,JALPAIGURI~CASH~ABFRL~,0.00,108318.00
20-05-2024,20-05-2024,,,MOHALI~CASH~ABFRL~,0.00,46894.00
20-05-2024,20-05-2024,,,"NEFT/IDFBH24141283783/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",392151.00,0.00
20-05-2024,20-05-2024,,,"PUNE CASH COLLECTIONS~CASH~ABFRL~",0.00,49370.00
18-05-2024,18-05-2024,,,AMRITSAR~CASH~ABFRL~,0.00,33584.00
18-05-2024,18-05-2024,,,"BANGALORE FOR CASH BURIAL~CASH~ABFRL~",0.00,40450.00
18-05-2024,18-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,80900.00
18-05-2024,18-05-2024,,,"CHENNAI CASH FOR BURIAL / PB~CASH~ABFRL~",0.00,56050.00
18-05-2024,18-05-2024,,,"DELHI FOR CASH BURIAL~CASH~ABFRL~",0.00,84500.00
18-05-2024,18-05-2024,,,"HYDERABAD CASH DEPOSIT~CASH~ABFRL~",0.00,1600.00
18-05-2024,18-05-2024,,,INDORE~CASH~ABFRL~,0.00,34500.00
18-05-2024,18-05-2024,,,JALPAIGURI~CASH~ABFRL~,0.00,23580.00
18-05-2024,18-05-2024,,,MOHALI~CASH~ABFRL~,0.00,15187.00
18-05-2024,18-05-2024,,,"NEFT/IDFBH24139067186/ADITYA BIRLA FASHION  RETAIL LIMIT/HDFC0000060",293171.00,0.00
18-05-2024,18-05-2024,,,"PUNE CASH COLLECTIONS~CASH~ABFRL~",0.00,21800.00
17-05-2024,17-05-2024,,,AMRITSAR~CASH~ABFRL~,0.00,8290.00
17-05-2024,17-05-2024,,,"BANGALORE FOR CASH BURIAL~CASH~ABFRL~",0.00,55550.00
17-05-2024,17-05-2024,,,CHANDIGARH~CASH~ABFRL~,0.00,7900.00
