"Sales Date","Credit Date","Store ID","Retek Code",Brand,TID,"Account No",Description,"Transaction Branch",Credit,Debit
2024-07-30,2024-07-30,7086,17086,"LOUIS PHILIPPE",42579868,201,UPI978482C-42579868-CHARGEBACKDT22/07-12,"DB OPS MUMBAI",.00,5498.00
2024-07-26,2024-07-26,4470,84470,"LOUIS PHILIPPE VALUE STORE",42645479,201,UPI975525C-42645479-CHARGEBACKDT16/07-22,"DB OPS MUMBAI",.00,10297.00
2024-07-22,2024-07-22,9718,59718,"AMERICAN EAGLE",42578001,201,UPI972471C-42578001-CHARGEBACKDT10/07-05,"DB OPS MUMBAI",.00,9998.00
2024-07-18,2024-07-18,3713,13713,"LOUIS PHILIPPE",27147437,201,MVFP09825C-27147437-CHARGEBACKDT04/07-27,"DB OPS MUMBAI",.00,5348.00
2024-07-16,2024-07-16,6006,26006,"VAN HEUSEN",27147171,201,RPC666642C-27147171-CHARGEBACKDT04/07-28,"DB OPS MUMBAI",.00,16744.30
2024-07-16,2024-07-16,3927,63927,"PE BLUE",41839455,201,UPI970049C-41839455-CHARGEBACKDT04/07-22,"DB OPS MUMBAI",.00,3058.80
2024-07-12,2024-07-12,8145,28145,"VAN HEUSEN",27147167,201,RPC666477C-27147167-CHARGEBACKDT01/07-23,"DB OPS MUMBAI",.00,4378.20
2024-07-06,2024-07-06,5701,25701,"VAN HEUSEN",27147268,201,UPI966812C-27147268-CHARGEBACKDT24/06-16,"DB OPS MUMBAI",.00,5598.00
2024-07-03,2024-07-03,6584,36584,"AS PRIME",42578156,201,UPI965371C-42578156-CHARGEBACKDT21/06-15,"DB OPS MUMBAI",.00,2748.00
2024-07-03,2024-07-03,3306,13306,"LOUIS PHILIPPE",42619588,201,UPI965469C-42619588-CHARGEBACKDT21/06-08,"DB OPS MUMBAI",.00,5847.00
2024-07-01,2024-07-01,8088,28088,"VAN HEUSEN",27147289,201,UPI964511C-27147289-CHARGEBACKDT19/06-28,"DB OPS MUMBAI",.00,2699.00
2024-06-27,2024-06-27,6996,86996,"VAN HEUSEN VALUE STORE",42391758,201,UPI964281C-42391758-CHARGEBACKDT18/06-13,"DB OPS MUMBAI",.00,3248.50
2024-06-27,2024-06-27,1218,11218,"LOUIS PHILIPPE",42402776,201,UPI950057C-42402776-CHARGEBACKRFD12/05-0,"DB OPS MUMBAI",6538.20,.00
2024-06-24,2024-06-24,5693,85693,"AMERICAN EAGLE VALUE STORE",42621167,201,MVFP09429C-42621167-CHARGEBACKDT08/06-31,"DB OPS MUMBAI",.00,2098.00
2024-06-10,2024-06-10,3734,13734,"LOUIS PHILIPPE",42619642,201,UPI943487C-42619642-CHARGEBACKRFD29/04-1,"DB OPS MUMBAI",7497.00,.00
2024-06-10,2024-06-10,5706,85706,"AMERICAN EAGLE VALUE STORE",42614288,201,UPI942322C-42614288-CHARGEBACKRFD25/04-2,"DB OPS MUMBAI",3748.50,.00
2024-06-10,2024-06-10,1223,11223,"LOUIS PHILIPPE",42402745,201,UPI952436C-42402745-CHARGEBACKRFD16/05-1,"DB OPS MUMBAI",6498.30,.00
2024-06-10,2024-06-10,1218,11218,"LOUIS PHILIPPE",42402776,201,UPI951917C-42402776-CHARGEBACKRFD16/05-0,"DB OPS MUMBAI",6498.00,.00
2024-06-10,2024-06-10,1218,11218,"LOUIS PHILIPPE",42402776,201,UPI942396C-42402776-CHARGEBACKRFD25/04-2,"DB OPS MUMBAI",2499.00,.00
2024-06-03,2024-06-03,7275,17275,"LOUIS PHILIPPE",42472193,201,UPI954466C-42472193-CHARGEBACKDT22/05-19,"DB OPS MUMBAI",.00,1918.80
2024-06-03,2024-06-03,4808,34808,"AS PRIME",27180670,201,UPI954168C-27180670-CHARGEBACKDT21/05-20,"DB OPS MUMBAI",.00,1799.00
2024-05-28,2024-05-28,1223,11223,"LOUIS PHILIPPE",42402745,201,UPI952436C-42402745-CHARGEBACKDT16/05-13,"DB OPS MUMBAI",.00,6498.30
2024-05-28,2024-05-28,1218,11218,"LOUIS PHILIPPE",42402776,201,UPI951917C-42402776-CHARGEBACKDT16/05-07,"DB OPS MUMBAI",.00,6498.00
2024-05-27,2024-05-27,7949,27949,"VAN HEUSEN",42544640,201,UPI935832C-42544640-CHARGEBACKRFD10/04-0,"DB OPS MUMBAI",2758.80,.00
2024-05-24,2024-05-24,7895,27895,"VH GOLD",42534464,201,MVFP08780C-42534464-CHARGEBACKDT08/05-28,"DB OPS MUMBAI",.00,3748.00
