"Deposit Date","Pickupt Code","Deposit Slip No","Collection Bank",Location,"Deposit Amount"
03-06-2024,15934,1593400003,"AXIS Cash",JHANSI,1400.00
03-06-2024,15934,1593400004,"AXIS Cash",JHANSI,19140.00
03-06-2024,15946,1594600019,"AXIS Cash","NAWADA NWD BH",3400.00
03-06-2024,15946,1594600020,"AXIS Cash","NAWADA NWD BH",5700.00
03-06-2024,16152,200012,"AXIS Cash",VISAKHAPATNAM,11450.00
03-06-2024,16152,200011,"AXIS Cash",VISAKHAPATNAM,22500.00
03-06-2024,25805,196071,"AXIS Cash","CASH CORR LOCATION",1300.00
03-06-2024,25907,2590700032,"AXIS Cash",HARIDWAR,10450.00
03-06-2024,25907,2590700033,"AXIS Cash",HARIDWAR,18820.00
03-06-2024,25917,74985207,"AXIS Cash",JODHPUR,15100.00
03-06-2024,25971,2597100011,"AXIS Cash","NEW DELHI",17300.00
03-06-2024,25971,2597100012,"AXIS Cash","NEW DELHI",33300.00
03-06-2024,25997,2599700019,"AXIS Cash",AHMEDABAD,3250.00
03-06-2024,25997,2599700020,"AXIS Cash",AHMEDABAD,4500.00
03-06-2024,26115,2611500002,"AXIS Cash",AHMEDABAD,14900.00
03-06-2024,36197,3619700001,"AXIS Cash","KOCHI / ERNAKULAM",2500.00
03-06-2024,36197,3619700003,"AXIS Cash","KOCHI / ERNAKULAM",2500.00
03-06-2024,36197,3619700004,"AXIS Cash","KOCHI / ERNAKULAM",6700.00
03-06-2024,36197,3619700002,"AXIS Cash","KOCHI / ERNAKULAM",9800.00
03-06-2024,41106,59277990,"AXIS Cash",SULTANPUR-228001,200.00
03-06-2024,51534,284167,"AXIS Cash","CASH CORR LOCATION",10500.00
03-06-2024,55572,6246432,"AXIS Cash","CASH CORR LOCATION",9530.00
03-06-2024,55980,5598000001,"AXIS Cash",DEHRADUN,2000.00
03-06-2024,55980,5598000002,"AXIS Cash",DEHRADUN,20400.00
03-06-2024,57064,74459799,"AXIS Cash",RANCHI,13200.00
03-06-2024,57065,74459823,"AXIS Cash",RANCHI,4500.00
03-06-2024,57100,5710000072,"AXIS Cash",CHENNAI,2904.00
03-06-2024,57100,5710000724,"AXIS Cash",CHENNAI,10596.00
03-06-2024,57108,80971039,"AXIS Cash",MYSORE,25730.00
03-06-2024,57110,5711000602,"AXIS Cash",BAREILLY,6820.00
03-06-2024,57111,5711100693,"AXIS Cash",CHENNAI,370.00
03-06-2024,57111,5711100694,"AXIS Cash",CHENNAI,4720.00
03-06-2024,57114,58758178,"AXIS Cash",HYDERABAD,16630.00
03-06-2024,57115,58758970,"AXIS Cash",HYDERABAD,24055.00
03-06-2024,57124,60267550,"AXIS Cash",GUWAHATI,23000.00
03-06-2024,57126,4790468,"AXIS Cash","CASH CORR LOCATION",21470.00
03-06-2024,57127,74645763,"AXIS Cash",JAMSHEDPUR,30660.00
03-06-2024,57128,5712800597,"AXIS Cash",MUMBAI,16480.00
03-06-2024,57129,5712900631,"AXIS Cash",BANGALORE,5550.00
03-06-2024,57130,79480402,"AXIS Cash","CASH CORR LOCATION",42140.00
03-06-2024,57131,95147370,"AXIS Cash","CASH CORR LOCATION",9000.00
03-06-2024,57133,5713300689,"AXIS Cash",NASHIK,4460.00
03-06-2024,57133,5713300690,"AXIS Cash",NASHIK,18866.00
03-06-2024,57135,5713500519,"AXIS Cash",HYDERABAD,4113.00
