"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code",TID,"Collection Bank","Deposit Amount"
2780895,2024-11-25,2024-11-21,1000,11200,21163753,"SBI Card",5499.00
2780890,2024-11-22,2024-11-21,1130,51130,21163753,"SBI Card",2999.00
2780891,2024-11-22,2024-11-21,5892,15892,21163753,"SBI Card",799.00
2781499,,2024-11-21,,,21176667,"SBI Card",15645.00
2781500,,2024-11-21,,,21176667,"SBI Card",4298.00
2781509,,2024-11-21,,,21229027,"SBI Card",2999.00
2781510,,2024-11-21,,,21229027,"SBI Card",13499.00
2782170,,2024-11-21,,,21204024,"SBI Card",1999.00
2774001,,2024-11-21,,,72353926,"AMEX Card",10045.00
2774070,,2024-11-21,,,72454014,"AMEX Card",3299.00
2781575,,2024-11-21,,,21312242,"SBI Card",5247.90
2781580,,2024-11-21,,,21312242,"SBI Card",3398.00
2781586,,2024-11-21,,,21312242,"SBI Card",15296.00
2774095,,2024-11-21,,,72488930,"AMEX Card",5345.00
2774103,,2024-11-21,,,72489277,"AMEX Card",1999.00
2781621,,2024-11-21,,,21312242,"SBI Card",5499.00
2781622,,2024-11-21,,,21312242,"SBI Card",11597.00
2781623,,2024-11-21,,,21312242,"SBI Card",1799.00
2782208,,2024-11-21,,,21246162,"SBI Card",559.00
2774154,,2024-11-21,,,72328982,"AMEX Card",10793.00
2774252,,2024-11-21,,,72506820,"AMEX Card",6298.00
2774262,,2024-11-21,,,72463760,"AMEX Card",7174.00
2774273,,2024-11-21,,,72475212,"AMEX Card",28440.00
2774281,,2024-11-21,,,72488877,"AMEX Card",10344.00
2774289,,2024-11-21,,,72488945,"AMEX Card",2498.00
2774291,,2024-11-21,,,72488984,"AMEX Card",3197.00
2774335,,2024-11-21,,,72475212,"AMEX Card",18146.00
2774336,,2024-11-21,,,72475218,"AMEX Card",6436.00
2774351,,2024-11-21,,,72488919,"AMEX Card",14293.00
2774364,,2024-11-21,,,VPOS1247,"AMEX Card",2966.00
2774476,,2024-11-21,,,VPOS1263,"AMEX Card",1.00
2774477,,2024-11-21,,,VPOS1263,"AMEX Card",3186.00
2774478,,2024-11-21,,,VPOS1263,"AMEX Card",4408.00
2774479,,2024-11-21,,,VPOS1263,"AMEX Card",4859.00
2774480,,2024-11-21,,,VPOS1263,"AMEX Card",12769.00
2774469,,2024-11-21,,,VPOS1247,"AMEX Card",5359.00
2774470,,2024-11-21,,,VPOS1247,"AMEX Card",8400.00
2774471,,2024-11-21,,,VPOS1247,"AMEX Card",35000.00
2774507,,2024-11-21,,,VPOS1247,"AMEX Card",22250.00
2774512,,2024-11-21,,,VPOS1263,"AMEX Card",6299.00
2774513,,2024-11-21,,,VPOS1263,"AMEX Card",6809.00
2774550,,2024-11-21,,,VPOS1247,"AMEX Card",6525.00
2774551,,2024-11-21,,,VPOS1247,"AMEX Card",8023.00
2774552,,2024-11-21,,,VPOS1247,"AMEX Card",11812.00
2774553,,2024-11-21,,,VPOS1247,"AMEX Card",13500.00
2774560,,2024-11-21,,,VPOS1263,"AMEX Card",1979.00
2774561,,2024-11-21,,,VPOS1263,"AMEX Card",6287.00
2774562,,2024-11-21,,,VPOS1263,"AMEX Card",16413.00
2774652,,2024-11-21,,,VPOS1247,"AMEX Card",8775.00
2774653,,2024-11-21,,,VPOS1247,"AMEX Card",9000.00
2774654,,2024-11-21,,,VPOS1247,"AMEX Card",63000.00
2774659,,2024-11-21,,,VPOS1263,"AMEX Card",1.00
2774660,,2024-11-21,,,VPOS1263,"AMEX Card",23.00
2774674,,2024-11-21,,,42755221,"HDFC Card",8748.00
2774748,,2024-11-21,,,80142016,"HDFC Card",3596.00
2774789,,2024-11-21,,,42752871,"HDFC Card",5697.50
2774811,,2024-11-21,,,42752871,"HDFC Card",299.50
2774819,,2024-11-21,,,42752871,"HDFC Card",8499.50
2774824,,2024-11-21,,,42752871,"HDFC Card",5700.00
2774843,,2024-11-21,,,42756117,"HDFC Card",4999.00
2774862,,2024-11-21,,,42756119,"HDFC Card",5498.00
2774874,,2024-11-21,,,42756119,"HDFC Card",10296.00
2774880,,2024-11-21,,,42756119,"HDFC Card",10296.00
2774885,,2024-11-21,,,42756119,"HDFC Card",2949.00
2774886,,2024-11-21,,,42756119,"HDFC Card",1119.20
2774887,,2024-11-21,,,42756119,"HDFC Card",7196.50
2774888,,2024-11-21,,,42756119,"HDFC Card",5598.00
2774898,,2024-11-21,,,42756119,"HDFC Card",1449.00
2774899,,2024-11-21,,,42756119,"HDFC Card",4998.00
2774900,,2024-11-21,,,42756119,"HDFC Card",4798.00
2774907,,2024-11-21,,,42756119,"HDFC Card",1359.20
2774908,,2024-11-21,,,42756119,"HDFC Card",4798.00
2774910,,2024-11-21,,,42756119,"HDFC Card",2996.00
2774911,,2024-11-21,,,42756119,"HDFC Card",6797.50
2774912,,2024-11-21,,,42756119,"HDFC Card",1679.40
2774919,,2024-11-21,,,42756119,"HDFC Card",4498.50
2774924,,2024-11-21,,,42756119,"HDFC Card",4598.00
2774926,,2024-11-21,,,42756119,"HDFC Card",5249.00
2782280,,2024-11-21,,,21332106,"SBI Card",5998.00
2782285,,2024-11-21,,,21332106,"SBI Card",7097.00
2782291,,2024-11-21,,,21332106,"SBI Card",3999.00
2782292,,2024-11-21,,,21332106,"SBI Card",3049.00
2782342,,2024-11-21,,,21332106,"SBI Card",2499.00
2782339,,2024-11-21,,,21332106,"SBI Card",2799.00
2782390,,2024-11-21,,,21373399,"SBI Card",37792.00
2780544,,2024-11-21,,,,"ICICI Card",113.63
2780545,,2024-11-21,,,,"ICICI Card",112.50
2780546,,2024-11-21,,,,"ICICI Card",662.50
2780547,,2024-11-21,,,,"ICICI Card",112.50
2780548,,2024-11-21,,,,"ICICI Card",34452.75
2780549,,2024-11-21,,,,"ICICI Card",159.75
2780550,,2024-11-21,,,,"ICICI Card",1440.00
2780551,,2024-11-21,,,,"ICICI Card",1000.00
2780552,,2024-11-21,,,,"ICICI Card",37.50
2780553,,2024-11-21,,,,"ICICI Card",96183.30
2780554,,2024-11-21,,,,"ICICI Card",439.20
2780538,,2024-11-21,,,,"ICICI Card",362.50
2780539,,2024-11-21,,,,"ICICI Card",14072.25
2780540,,2024-11-21,,,,"ICICI Card",65.25
2780541,,2024-11-21,,,,"ICICI Card",631.25
2780542,,2024-11-21,,,,"ICICI Card",24505.12
2781749,,2024-11-21,,,21255884,"SBI Card",2998.00
2781201,,2024-11-21,,,21163753,"SBI Card",10098.00
2781202,,2024-11-21,,,21163753,"SBI Card",169.00
2781203,,2024-11-21,,,21163753,"SBI Card",21198.00
2781204,,2024-11-21,,,21163753,"SBI Card",11098.00
2781198,,2024-11-21,,,21163753,"SBI Card",6499.00
2780619,,2024-11-21,,,21053035,"SBI Card",5095.00
2781239,,2024-11-21,,,21234739,"SBI Card",2804.15
2781861,,2024-11-21,,,21292165,"SBI Card",3299.00
2781862,,2024-11-21,,,21292165,"SBI Card",8047.00
2781446,,2024-11-21,,,21255884,"SBI Card",4847.00
2781447,,2024-11-21,,,21255884,"SBI Card",1999.00
2781448,,2024-11-21,,,21255884,"SBI Card",1799.00
2782047,,2024-11-21,,,21390419,"SBI Card",9555.00
2782067,,2024-11-21,,,21390419,"SBI Card",8396.00
2780770,,2024-11-21,,,21098202,"SBI Card",19994.00
2780815,,2024-11-21,,,21176667,"SBI Card",8497.00
2780816,,2024-11-21,,,21176667,"SBI Card",14298.00
2781391,,2024-11-21,,,21234739,"SBI Card",9248.00
2782009,,2024-11-21,,,21292165,"SBI Card",3999.00
2781387,,2024-11-20,,,21234739,"SBI Card",19497.00
2781388,,2024-11-20,,,21234739,"SBI Card",16194.00
2781374,,2024-11-20,,,21234739,"SBI Card",2798.00
2781383,,2024-11-20,,,21234739,"SBI Card",16492.00
2781384,,2024-11-20,,,21234739,"SBI Card",17555.00
2782084,,2024-11-20,,,21016601,"SBI Card",9797.00
2782085,,2024-11-20,,,21016601,"SBI Card",11599.20
2781975,,2024-11-20,,,21387593,"SBI Card",5016.00
2781973,,2024-11-20,,,21387593,"SBI Card",2799.00
2782445,,2024-11-20,,,21401998,"SBI Card",5596.00
2780636,,2024-11-20,,,21053035,"SBI Card",1200.00
2780637,,2024-11-20,,,21053035,"SBI Card",2697.00
2780638,,2024-11-20,,,21053035,"SBI Card",2299.00
2781184,,2024-11-20,,,21163753,"SBI Card",5499.00
2781186,,2024-11-20,,,21163753,"SBI Card",10908.00
2780543,,2024-11-20,,,,"ICICI Card",15042.75
2781144,,2024-11-20,,,21337612,"SBI Card",1599.00
2780535,,2024-11-20,,,,"ICICI Card",2325.00
2780536,,2024-11-20,,,,"ICICI Card",83.25
2780537,,2024-11-20,,,,"ICICI Card",462.50
2782392,,2024-11-20,,,21373399,"SBI Card",20317.60
2781828,,2024-11-20,,,21255884,"SBI Card",1399.00
2781829,,2024-11-20,,,21255884,"SBI Card",3347.20
2781830,,2024-11-20,,,21255884,"SBI Card",3847.00
2781831,,2024-11-20,,,21255884,"SBI Card",3998.00
2781832,,2024-11-20,,,21255884,"SBI Card",1599.00
2782326,,2024-11-20,,,21332106,"SBI Card",5798.00
2782329,,2024-11-20,,,21332106,"SBI Card",16753.00
2782330,,2024-11-20,,,21332106,"SBI Card",1968.00
2782331,,2024-11-20,,,21332106,"SBI Card",6787.00
2780458,,2024-11-20,,,,"ICICI Card",154.35
2780459,,2024-11-20,,,,"ICICI Card",857.50
2780460,,2024-11-20,,,,"ICICI Card",17954.25
2774928,,2024-11-20,,,42756119,"HDFC Card",2999.50
2774929,,2024-11-20,,,42756119,"HDFC Card",9395.50
2774931,,2024-11-20,,,42756119,"HDFC Card",4798.00
2774932,,2024-11-20,,,42756119,"HDFC Card",1000.00
2774933,,2024-11-20,,,42756119,"HDFC Card",2399.00
2774934,,2024-11-20,,,42756119,"HDFC Card",4649.00
2774935,,2024-11-20,,,42756119,"HDFC Card",1839.20
2774913,,2024-11-20,,,42756119,"HDFC Card",1799.00
2774914,,2024-11-20,,,42756119,"HDFC Card",4797.50
2774915,,2024-11-20,,,42756119,"HDFC Card",8296.00
2774916,,2024-11-20,,,42756119,"HDFC Card",5849.00
2774917,,2024-11-20,,,42756119,"HDFC Card",1999.00
2774918,,2024-11-20,,,42756119,"HDFC Card",10296.00
2774889,,2024-11-20,,,42756119,"HDFC Card",1249.00
2774849,,2024-11-20,,,42756117,"HDFC Card",4199.30
2774892,,2024-11-20,,,42756119,"HDFC Card",8097.50
2774840,,2024-11-20,,,42756117,"HDFC Card",6697.00
2774827,,2024-11-20,,,42752871,"HDFC Card",9998.00
2774828,,2024-11-20,,,42752871,"HDFC Card",4918.70
2774758,,2024-11-20,,,80141293,"HDFC Card",538.00
2774672,,2024-11-20,,,42755221,"HDFC Card",2799.00
2774680,,2024-11-20,,,42755221,"HDFC Card",10048.00
2774649,,2024-11-20,,,VPOS1247,"AMEX Card",8750.00
2774650,,2024-11-20,,,VPOS1247,"AMEX Card",32000.00
2774651,,2024-11-20,,,VPOS1247,"AMEX Card",57750.00
2774546,,2024-11-20,,,VPOS1247,"AMEX Card",5300.00
2774547,,2024-11-20,,,VPOS1247,"AMEX Card",6557.00
2774548,,2024-11-20,,,VPOS1247,"AMEX Card",12487.00
2774549,,2024-11-20,,,VPOS1247,"AMEX Card",49000.00
2774502,,2024-11-20,,,VPOS1247,"AMEX Card",3674.00
2774503,,2024-11-20,,,VPOS1247,"AMEX Card",5300.00
2774504,,2024-11-20,,,VPOS1247,"AMEX Card",7500.00
2774505,,2024-11-20,,,VPOS1247,"AMEX Card",32000.00
2774506,,2024-11-20,,,VPOS1247,"AMEX Card",33625.00
2780391,,2024-11-20,,,,"ICICI Card",90256.50
2780392,,2024-11-20,,,,"ICICI Card",418.50
2774464,,2024-11-20,,,VPOS1247,"AMEX Card",10500.00
2774465,,2024-11-20,,,VPOS1247,"AMEX Card",14400.00
2774466,,2024-11-20,,,VPOS1247,"AMEX Card",28115.00
2774467,,2024-11-20,,,VPOS1247,"AMEX Card",32000.00
2774468,,2024-11-20,,,VPOS1247,"AMEX Card",44250.00
2774408,,2024-11-20,,,72506820,"AMEX Card",9097.00
2774239,,2024-11-20,,,72489306,"AMEX Card",669.00
2774224,,2024-11-20,,,72488892,"AMEX Card",6196.00
2774178,,2024-11-20,,,VPOS1247,"AMEX Card",1800.00
2781041,,2024-11-20,,,21019714,"SBI Card",999.00
2781029,,2024-11-20,,,21163753,"SBI Card",9136.00
2782191,,2024-11-20,,,21204024,"SBI Card",4598.00
2781015,,2024-11-20,,,21163753,"SBI Card",1499.00
2781016,,2024-11-20,,,21163753,"SBI Card",9174.00
2781017,,2024-11-20,,,21163753,"SBI Card",2399.00
2781018,,2024-11-20,,,21163753,"SBI Card",9111.00
2781020,,2024-11-20,,,21163753,"SBI Card",3299.00
2781027,,2024-11-20,,,21163753,"SBI Card",8999.00
2774084,,2024-11-20,,,72475331,"AMEX Card",4398.00
2781520,,2024-11-20,,,21229027,"SBI Card",3798.00
2774061,,2024-11-20,,,72395785,"AMEX Card",599.00
2774064,,2024-11-20,,,72264233,"AMEX Card",699.00
2780308,,2024-11-20,,,,"ICICI Card",69.75
2780309,,2024-11-20,,,,"ICICI Card",387.50
2780310,,2024-11-20,,,,"ICICI Card",33288.15
2782086,,2024-11-20,,,21016601,"SBI Card",6347.00
2782088,,2024-11-20,,,21016601,"SBI Card",9297.50
2782090,,2024-11-20,,,21016601,"SBI Card",1839.20
2781488,,2024-11-20,,,21176667,"SBI Card",3549.00
2781484,,2024-11-20,,,21176667,"SBI Card",3999.00
2780868,,2024-11-20,,,21176667,"SBI Card",500.00
2782100,2024-11-20,2024-11-21,1001,21500,21016601,"SBI Card",7397.80
2780892,2024-11-20,2024-11-21,5892,15892,21163753,"SBI Card",499.00
2781498,2024-11-20,2024-11-21,5892,15892,21176667,"SBI Card",7597.00
2780883,,2024-11-19,,,21163753,"SBI Card",11118.00
2780884,,2024-11-19,,,21163753,"SBI Card",25333.00
2780885,,2024-11-19,,,21163753,"SBI Card",1399.00
2780886,,2024-11-19,,,21163753,"SBI Card",7248.00
