"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code","Pickupt Code","Deposit Slip No","Collection Bank",Location,"Deposit Amount"
2773180,,2024-11-21,,,,,SBICASHMIS,,238000.00
2773182,,2024-11-21,,,,,SBICASHMIS,,49000.00
2773184,,2024-11-21,,,,,SBICASHMIS,,8000.00
2773186,,2024-11-21,,,,,SBICASHMIS,,23000.00
2773189,,2024-11-21,,,,,SBICASHMIS,,103400.00
2772337,,2024-11-21,,,,,SBICASHMIS,,335500.00
2772338,,2024-11-21,,,,,SBICASHMIS,,23751.00
2772339,,2024-11-21,,,,,SBICASHMIS,,391800.00
2772340,,2024-11-21,,,,,SBICASHMIS,,39000.00
2772341,,2024-11-21,,,,,SBICASHMIS,,51500.00
2772342,,2024-11-21,,,,,SBICASHMIS,,22150.00
2772344,,2024-11-21,,,,,SBICASHMIS,,333900.00
2772866,,2024-11-21,,,,,SBICASHMIS,,32200.00
2772867,,2024-11-21,,,,,SBICASHMIS,,83010.00
2772868,,2024-11-21,,,,,SBICASHMIS,,45200.00
2772870,,2024-11-21,,,,,SBICASHMIS,,65100.00
2772874,,2024-11-20,,,,,SBICASHMIS,,352900.00
2772875,,2024-11-20,,,,,SBICASHMIS,,169400.00
2772876,,2024-11-20,,,,,SBICASHMIS,,78900.00
2772881,,2024-11-20,,,,,SBICASHMIS,,239730.00
2772953,,2024-11-20,,,,,SBICASHMIS,,17500.00
2772743,,2024-11-20,,,,,SBICASHMIS,,6500.00
2773031,,2024-11-20,,,,,SBICASHMIS,,26250.00
2773040,,2024-11-20,,,,,SBICASHMIS,,35470.00
2773067,,2024-11-20,,,,,SBICASHMIS,,73150.00
2773068,,2024-11-20,,,,,SBICASHMIS,,81150.00
2770265,,2024-11-20,,,87301,61725117,"AXIS Cash",CHNDI,1100.00
2770394,,2024-11-20,,,57305,64140632,"AXIS Cash",COIMB,660.00
2770395,,2024-11-20,,,57890,71671757,"AXIS Cash",GORAK,10500.00
2770396,,2024-11-20,,,57505,79921760,"AXIS Cash",BANGL,3600.00
2770397,,2024-11-20,,,57513,80330121,"AXIS Cash",KOTA,1000.00
2770398,,2024-11-20,,,57528,80330955,"AXIS Cash",KOTA,8000.00
2770399,,2024-11-20,,,57127,80882178,"AXIS Cash",JAMSH,1600.00
2770400,,2024-11-20,,,57108,81025426,"AXIS Cash",MYSOR,4500.00
2773249,,2024-11-20,,,,,SBICASHMIS,,117250.00
2773250,,2024-11-20,,,,,SBICASHMIS,,95000.00
2772370,,2024-11-20,,,,,SBICASHMIS,,224550.00
2770496,,2024-11-20,,,57899,83316680,"AXIS Cash",AHDBD,4400.00
2770497,,2024-11-20,,,57115,91358249,"AXIS Cash",HYDER,9140.00
2770498,,2024-11-20,,,57531,91720698,"AXIS Cash",CHNDI,11252.00
2770499,,2024-11-20,,,57792,201142024,"AXIS Cash",AHDBD,3646.00
2770500,,2024-11-20,,,57189,571890080,"AXIS Cash",HYDER,3146.00
2770501,,2024-11-20,,,57190,571900511,"AXIS Cash",SURAT,11329.00
2770502,,2024-11-20,,,57109,5710900390,"AXIS Cash",CHENN,2500.00
2770503,,2024-11-20,,,57111,5711100840,"AXIS Cash",CHENN,8020.00
2770504,,2024-11-20,,,57111,5711100841,"AXIS Cash",CHENN,2400.00
2770505,,2024-11-20,,,57129,5712900726,"AXIS Cash",BANGL,8000.00
2770506,,2024-11-20,,,57168,5716800538,"AXIS Cash",DELHI,10000.00
2770507,,2024-11-20,,,57184,5718400793,"AXIS Cash",CALIC,1037.00
2770508,,2024-11-20,,,57194,5719400504,"AXIS Cash",LUCKN,93900.00
2770509,,2024-11-20,,,57199,5719900789,"AXIS Cash",MYSOR,1852.00
2770510,,2024-11-20,,,57200,5720000272,"AXIS Cash",LUCKN,15900.00
2770511,,2024-11-20,,,57217,5721700435,"AXIS Cash",DELHI,2500.00
2770490,,2024-11-20,,,57187,81049968,"AXIS Cash",BANGL,1000.00
2770491,,2024-11-20,,,57220,82707073,"AXIS Cash",BHOPA,2150.00
2770492,,2024-11-20,,,57508,82720130,"AXIS Cash",INDOR,500.00
2770513,,2024-11-20,,,57292,5729200237,"AXIS Cash",DELHI,5712.00
2770514,,2024-11-20,,,57724,48652078,"AXIS Cash",GUWAH,4700.00
2770515,,2024-11-20,,,57833,57592389,"AXIS Cash",SRIGA,11500.00
2770516,,2024-11-20,,,57543,5754300513,"AXIS Cash",DELHI,7620.00
2770517,,2024-11-20,,,57621,5762100388,"AXIS Cash",AHDBD,5812.00
2770518,,2024-11-20,,,57625,5762500492,"AXIS Cash",AJMER,2700.00
2770519,,2024-11-20,,,57638,5763800414,"AXIS Cash",RAJKO,3005.00
2770520,,2024-11-20,,,57787,5778700439,"AXIS Cash",CALCU,19000.00
2770521,,2024-11-20,,,57815,5781500447,"AXIS Cash",JAIPU,13630.00
2770522,,2024-11-20,,,87636,8763600387,"AXIS Cash",DELHI,5900.00
2770523,,2024-11-20,,,87652,8765200505,"AXIS Cash",AMBAL,4750.00
2770524,,2024-11-20,,,57126,5648941,"AXIS Cash",CBRAL,13230.00
2770525,,2024-11-20,,,57162,5762222,"AXIS Cash",CBRAL,4160.00
2770526,,2024-11-20,,,57152,60792873,"AXIS Cash",CBRAL,2127.00
2770527,,2024-11-20,,,57130,71670130,"AXIS Cash",CBRAL,3800.00
2770528,,2024-11-20,,,57139,5713900692,"AXIS Cash",CBRAL,12533.00
2770529,,2024-11-20,,,57839,58753085,"AXIS Cash",SIKAR,13810.00
2770530,,2024-11-20,,,57754,61485032,"AXIS Cash",PURNI,5000.00
2769895,,2024-11-19,,,57156,45316206,"AXIS Cash",CHENN,1632.00
2769896,,2024-11-19,,,57833,57592388,"AXIS Cash",SRIGA,4000.00
2769897,,2024-11-19,,,57185,60754115,"AXIS Cash",PUNE,2500.00
2769898,,2024-11-19,,,57754,61485031,"AXIS Cash",PURNI,4000.00
2769899,,2024-11-19,,,87301,61725116,"AXIS Cash",CHNDI,1690.00
2769900,,2024-11-19,,,57305,64140631,"AXIS Cash",COIMB,3723.00
2769901,,2024-11-19,,,57609,64645341,"AXIS Cash",BANGL,7620.00
2769902,,2024-11-19,,,57890,71671756,"AXIS Cash",GORAK,11060.00
2769903,,2024-11-19,,,57143,73168381,"AXIS Cash",TIRUP,2604.00
2769904,,2024-11-19,,,57749,74310025,"AXIS Cash",CHNDI,4300.00
2769905,,2024-11-19,,,57505,79921759,"AXIS Cash",BANGL,21540.00
2769906,,2024-11-19,,,57513,80330120,"AXIS Cash",KOTA,8500.00
2769907,,2024-11-19,,,57847,80734470,"AXIS Cash",PANAJ,1350.00
2769908,,2024-11-19,,,57127,80882177,"AXIS Cash",JAMSH,4300.00
2769909,,2024-11-19,,,57108,81026150,"AXIS Cash",MYSOR,30500.00
2769910,,2024-11-19,,,57187,81049967,"AXIS Cash",BANGL,16550.00
2769911,,2024-11-19,,,57146,82646995,"AXIS Cash",MANGR,5825.00
2769912,,2024-11-19,,,57509,82702165,"AXIS Cash",INDOR,3500.00
2769913,,2024-11-19,,,57220,82707072,"AXIS Cash",BHOPA,2500.00
2769914,,2024-11-19,,,57899,83316679,"AXIS Cash",AHDBD,4055.00
2769915,,2024-11-19,,,57115,91358248,"AXIS Cash",HYDER,3500.00
2769916,,2024-11-19,,,57135,571350051,"AXIS Cash",HYDER,4374.00
2769917,,2024-11-19,,,57791,577900408,"AXIS Cash",BANGL,600.00
2769918,,2024-11-19,,,57128,5712800712,"AXIS Cash",MUMBA,8601.00
2769919,,2024-11-19,,,57129,5712900725,"AXIS Cash",BANGL,49082.00
2769920,,2024-11-19,,,57133,5713300849,"AXIS Cash",NASIK,7220.00
2769921,,2024-11-19,,,57159,5715900160,"AXIS Cash",BANGL,2270.00
2769922,,2024-11-19,,,57160,5716000452,"AXIS Cash",COIMB,12040.00
2769923,,2024-11-19,,,57165,5716500295,"AXIS Cash",REWA,16500.00
2769954,,2024-11-19,,,57168,5716800537,"AXIS Cash",DELHI,8500.00
2769955,,2024-11-19,,,57184,5718400792,"AXIS Cash",CALIC,289.00
2769956,,2024-11-19,,,57190,5719000519,"AXIS Cash",SURAT,1729.00
2769957,,2024-11-19,,,57193,5719300439,"AXIS Cash",TRIVA,978.00
2769958,,2024-11-19,,,57197,5719700243,"AXIS Cash",PATNA,4500.00
2769959,,2024-11-19,,,57199,5719900784,"AXIS Cash",MYSOR,4707.00
2769960,,2024-11-19,,,57199,5719900785,"AXIS Cash",MYSOR,13401.00
2769961,,2024-11-19,,,57199,5719900786,"AXIS Cash",MYSOR,3793.00
2769962,,2024-11-19,,,57199,5719900787,"AXIS Cash",MYSOR,500.00
2769963,,2024-11-19,,,57199,5719900788,"AXIS Cash",MYSOR,3872.00
2769964,,2024-11-19,,,57200,5720000271,"AXIS Cash",LUCKN,5900.00
2769965,,2024-11-19,,,57217,5721700434,"AXIS Cash",DELHI,14000.00
2769966,,2024-11-19,,,57292,5729200236,"AXIS Cash",DELHI,4150.00
2769967,,2024-11-19,,,57543,5754300512,"AXIS Cash",DELHI,4000.00
2769968,,2024-11-19,,,57621,5762100387,"AXIS Cash",AHDBD,2466.00
2769969,,2024-11-19,,,57625,5762500491,"AXIS Cash",AJMER,3500.00
2769970,,2024-11-19,,,57638,5763800413,"AXIS Cash",RAJKO,2556.00
2769971,,2024-11-19,,,57748,5774800326,"AXIS Cash",UDAIP,2200.00
2769972,,2024-11-19,,,57758,5775800130,"AXIS Cash",SIKAR,36963.00
2769973,,2024-11-19,,,57761,5776100436,"AXIS Cash",NAVSA,9534.00
2769974,,2024-11-19,,,57791,5779100409,"AXIS Cash",BANGL,20000.00
2769975,,2024-11-19,,,57791,5779100410,"AXIS Cash",BANGL,800.00
2769976,,2024-11-19,,,57794,5779400435,"AXIS Cash",DEHRA,3509.00
2769977,,2024-11-19,,,57815,5781500445,"AXIS Cash",JAIPU,670.00
2769978,,2024-11-19,,,57845,5784500271,"AXIS Cash",MUMBA,4640.00
2769979,,2024-11-19,,,57883,5788300446,"AXIS Cash",DURGA,1600.00
2769980,,2024-11-19,,,87636,8763600386,"AXIS Cash",DELHI,6660.00
2769981,,2024-11-19,,,87652,8765200504,"AXIS Cash",AMBAL,6820.00
2769982,,2024-11-19,,,57163,2847769,"AXIS Cash",CBRAL,1500.00
2769983,,2024-11-19,,,57126,5648940,"AXIS Cash",CBRAL,4200.00
2769984,,2024-11-19,,,57162,5762221,"AXIS Cash",CBRAL,13700.00
2769985,,2024-11-19,,,57130,71670129,"AXIS Cash",CBRAL,2000.00
2769986,,2024-11-19,,,57131,82896184,"AXIS Cash",CBRAL,29500.00
2769987,,2024-11-19,,,57139,5713900691,"AXIS Cash",CBRAL,17119.00
2769988,,2024-11-19,,,57161,5716100714,"AXIS Cash",CBRAL,1550.00
2769989,,2024-11-19,,,57280,5728000463,"AXIS Cash",CBRAL,5340.00
2772730,,2024-11-19,,,,,SBICASHMIS,,331300.00
2772731,,2024-11-19,,,,,SBICASHMIS,,108530.00
2772732,,2024-11-19,,,,,SBICASHMIS,,88430.00
2772736,,2024-11-19,,,,,SBICASHMIS,,313400.00
2773248,,2024-11-19,,,,,SBICASHMIS,,106350.00
2773066,,2024-11-19,,,,,SBICASHMIS,,99900.00
2773030,,2024-11-19,,,,,SBICASHMIS,,48200.00
2773042,,2024-11-19,,,,,SBICASHMIS,,71000.00
2770581,,2024-11-19,,,57174,8084637,"AXIS Cash",BANGL,5465.00
2772345,,2024-11-19,,,,,SBICASHMIS,,55600.00
2772436,,2024-11-19,,,,,SBICASHMIS,,97600.00
2772451,,2024-11-19,,,,,SBICASHMIS,,252400.00
2772949,,2024-11-19,,,,,SBICASHMIS,,52000.00
2773007,,2024-11-18,,,,,SBICASHMIS,,187750.00
2773008,,2024-11-18,,,,,SBICASHMIS,,106250.00
2773083,,2024-11-18,,,,,SBICASHMIS,,107600.00
2773084,,2024-11-18,,,,,SBICASHMIS,,364000.00
2773089,,2024-11-18,,,,,SBICASHMIS,,549880.00
2773090,,2024-11-18,,,,,SBICASHMIS,,278000.00
2770574,,2024-11-18,,,57157,62542375,"AXIS Cash",CBRAL,21590.00
2770575,,2024-11-18,,,57130,71670128,"AXIS Cash",CBRAL,15000.00
2770576,,2024-11-18,,,57139,5713700690,"AXIS Cash",CBRAL,20220.00
2770577,,2024-11-18,,,57161,5716100713,"AXIS Cash",CBRAL,29544.00
2770578,,2024-11-18,,,57163,5716300515,"AXIS Cash",CBRAL,2400.00
2770579,,2024-11-18,,,57164,5716400532,"AXIS Cash",CBRAL,14100.00
2770580,,2024-11-18,,,57280,5728000462,"AXIS Cash",CBRAL,16854.00
2773252,,2024-11-18,,,,,SBICASHMIS,,199100.00
2773253,,2024-11-18,,,,,SBICASHMIS,,93500.00
