"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code",TID,"Collection Bank","Deposit Amount"
2782848,,2024-11-21,,,42756117,"HDFC UPI",229.00
2782977,,2024-11-21,,,42757408,"HDFC UPI",2599.00
2782978,,2024-11-21,,,42757408,"HDFC UPI",2849.00
2783556,,2024-11-21,,,42756117,"HDFC UPI",229.00
2783703,,2024-11-21,,,42756117,"HDFC UPI",1919.20
2783704,,2024-11-21,,,42756119,"HDFC UPI",7599.20
2783705,,2024-11-21,,,42756119,"HDFC UPI",9796.00
2783706,,2024-11-21,,,42756119,"HDFC UPI",6597.00
2783707,,2024-11-21,,,42756119,"HDFC UPI",1699.00
2783708,,2024-11-21,,,42756119,"HDFC UPI",1999.00
2783709,,2024-11-21,,,42756119,"HDFC UPI",1119.20
2783710,,2024-11-21,,,42756119,"HDFC UPI",1439.20
2782839,,2024-11-21,,,42752871,"HDFC UPI",5998.00
2782840,,2024-11-21,,,42752871,"HDFC UPI",4100.00
2782841,,2024-11-21,,,42752871,"HDFC UPI",7837.70
2782842,,2024-11-21,,,42752871,"HDFC UPI",3999.50
2782843,,2024-11-21,,,42752871,"HDFC UPI",749.50
2782844,,2024-11-21,,,42752871,"HDFC UPI",2999.40
2782845,,2024-11-21,,,42756117,"HDFC UPI",2399.00
2782846,,2024-11-21,,,42756117,"HDFC UPI",6498.00
2782847,,2024-11-21,,,42756117,"HDFC UPI",4467.60
2782823,,2024-11-21,,,42745976,"HDFC UPI",1927.00
2782824,,2024-11-21,,,42745976,"HDFC UPI",558.00
2782825,,2024-11-21,,,42745976,"HDFC UPI",1338.00
2782826,,2024-11-21,,,42745976,"HDFC UPI",175.00
2782827,,2024-11-21,,,42745976,"HDFC UPI",809.00
2782828,,2024-11-20,,,42752871,"HDFC UPI",7599.20
2783665,,2024-11-20,,,42745976,"HDFC UPI",2067.00
2783666,,2024-11-20,,,42752871,"HDFC UPI",2849.00
2783667,,2024-11-20,,,42757408,"HDFC UPI",6999.00
2782849,,2024-11-20,,,42752871,"HDFC UPI",1999.00
2782850,,2024-11-20,,,42752871,"HDFC UPI",2239.20
2782851,,2024-11-20,,,42752871,"HDFC UPI",4598.50
2782963,,2024-11-20,,,42756117,"HDFC UPI",3999.00
2782964,,2024-11-20,,,42756119,"HDFC UPI",2999.50
2782965,,2024-11-20,,,42756119,"HDFC UPI",4998.00
2782966,,2024-11-20,,,42756119,"HDFC UPI",5098.00
2782967,,2024-11-20,,,42756119,"HDFC UPI",10196.00
2782968,,2024-11-20,,,42756119,"HDFC UPI",7597.00
2782969,,2024-11-20,,,42756119,"HDFC UPI",5999.20
2782970,,2024-11-20,,,42756119,"HDFC UPI",9996.00
2782971,,2024-11-20,,,42756119,"HDFC UPI",6576.70
2782972,,2024-11-20,,,42758367,"HDFC UPI",1.00
2782973,,2024-11-20,,,42757408,"HDFC UPI",7249.00
2782974,,2024-11-20,,,42757408,"HDFC UPI",1000.00
2782975,,2024-11-20,,,42758367,"HDFC UPI",1.00
2783678,,2024-11-19,,,42745976,"HDFC UPI",449.00
2783679,,2024-11-19,,,42745976,"HDFC UPI",598.00
2783680,,2024-11-19,,,42745976,"HDFC UPI",5152.00
2783681,,2024-11-19,,,42756119,"HDFC UPI",1019.40
2783682,,2024-11-19,,,42752871,"HDFC UPI",1999.00
2783683,,2024-11-19,,,42752871,"HDFC UPI",2079.20
2783684,,2024-11-19,,,42752871,"HDFC UPI",4298.50
2783685,,2024-11-19,,,42752871,"HDFC UPI",4300.40
2783686,,2024-11-19,,,42752871,"HDFC UPI",5499.50
2783687,,2024-11-19,,,42752871,"HDFC UPI",7697.00
2783688,,2024-11-19,,,42756117,"HDFC UPI",10694.00
2783689,,2024-11-19,,,42756117,"HDFC UPI",3798.00
2783690,,2024-11-19,,,42756117,"HDFC UPI",3738.20
2783691,,2024-11-19,,,42756117,"HDFC UPI",1999.00
2783692,,2024-11-19,,,42756119,"HDFC UPI",5498.00
2783693,,2024-11-19,,,42756119,"HDFC UPI",3248.20
2783694,,2024-11-19,,,42756119,"HDFC UPI",2999.50
2783695,,2024-11-19,,,42757408,"HDFC UPI",9646.00
2782796,,2024-11-18,,,42745976,"HDFC UPI",1388.00
2782797,,2024-11-18,,,42752871,"HDFC UPI",5299.00
2782798,,2024-11-18,,,42752871,"HDFC UPI",6298.00
2782799,,2024-11-18,,,42752871,"HDFC UPI",19997.20
2782800,,2024-11-18,,,42756119,"HDFC UPI",4298.00
2782801,,2024-11-18,,,42756119,"HDFC UPI",4749.00
2782802,,2024-11-18,,,42752871,"HDFC UPI",2759.40
2782803,,2024-11-18,,,42752871,"HDFC UPI",1099.50
2782804,,2024-11-18,,,42756117,"HDFC UPI",10396.00
2782805,,2024-11-18,,,42756119,"HDFC UPI",4477.50
2782806,,2024-11-18,,,42756119,"HDFC UPI",1999.00
2782807,,2024-11-18,,,42756119,"HDFC UPI",6396.00
2782808,,2024-11-18,,,42756119,"HDFC UPI",49.00
2782809,,2024-11-18,,,42756119,"HDFC UPI",6597.00
2782810,,2024-11-18,,,42756119,"HDFC UPI",7997.00
2782811,,2024-11-18,,,42756119,"HDFC UPI",699.50
2782812,,2024-11-18,,,42756119,"HDFC UPI",3198.50
2782813,,2024-11-18,,,42756119,"HDFC UPI",1119.20
2782814,,2024-11-18,,,42756119,"HDFC UPI",3249.00
2782815,,2024-11-18,,,42756119,"HDFC UPI",5298.00
2782816,,2024-11-18,,,42757408,"HDFC UPI",4848.00
2782817,,2024-11-17,,,42745976,"HDFC UPI",579.00
2782818,,2024-11-17,,,42745976,"HDFC UPI",459.00
2782819,,2024-11-17,,,42745976,"HDFC UPI",1797.00
2782820,,2024-11-17,,,42745976,"HDFC UPI",599.00
2782821,,2024-11-17,,,42745976,"HDFC UPI",978.00
2782859,,2024-11-17,,,42752871,"HDFC UPI",14395.00
2782860,,2024-11-17,,,42752871,"HDFC UPI",5000.00
2782861,,2024-11-17,,,42752871,"HDFC UPI",4566.20
2782862,,2024-11-17,,,42752871,"HDFC UPI",5544.00
2782863,,2024-11-17,,,42752871,"HDFC UPI",5799.20
2782864,,2024-11-17,,,42752871,"HDFC UPI",1499.50
2782865,,2024-11-17,,,42752871,"HDFC UPI",999.00
2782866,,2024-11-17,,,42752871,"HDFC UPI",250.00
2782867,,2024-11-17,,,42752871,"HDFC UPI",15000.00
2782868,,2024-11-17,,,42752871,"HDFC UPI",5499.50
2782869,,2024-11-17,,,42752871,"HDFC UPI",999.00
2782870,,2024-11-17,,,42752871,"HDFC UPI",4078.20
2782871,,2024-11-17,,,42756119,"HDFC UPI",4548.00
2782872,,2024-11-17,,,42756119,"HDFC UPI",3278.40
2782873,,2024-11-17,,,42756119,"HDFC UPI",2178.60
2782874,,2024-11-17,,,42756117,"HDFC UPI",1199.20
2782875,,2024-11-17,,,42756119,"HDFC UPI",1679.20
2782876,,2024-11-17,,,42756119,"HDFC UPI",499.50
2782877,,2024-11-17,,,42756119,"HDFC UPI",5997.00
2782878,,2024-11-17,,,42756119,"HDFC UPI",4998.00
2782879,,2024-11-17,,,42756119,"HDFC UPI",4298.00
2783668,,2024-11-17,,,42756119,"HDFC UPI",1499.40
2783669,,2024-11-17,,,42756119,"HDFC UPI",2999.50
2783670,,2024-11-17,,,42756119,"HDFC UPI",4998.00
2783671,,2024-11-17,,,42756119,"HDFC UPI",2249.00
2783672,,2024-11-17,,,42756119,"HDFC UPI",5298.00
2783673,,2024-11-17,,,42756119,"HDFC UPI",1499.40
2783674,,2024-11-17,,,42756119,"HDFC UPI",6597.00
2783675,,2024-11-17,,,42757408,"HDFC UPI",6798.00
2783676,,2024-11-17,,,42756117,"HDFC UPI",3598.00
2783677,,2024-11-17,,,42757408,"HDFC UPI",13342.00
2782907,,2024-11-16,,,42745976,"HDFC UPI",1658.00
2782908,,2024-11-16,,,42745976,"HDFC UPI",2148.00
2782909,,2024-11-16,,,42745976,"HDFC UPI",689.00
2782910,,2024-11-16,,,42745976,"HDFC UPI",6244.00
2782911,,2024-11-16,,,42745976,"HDFC UPI",4674.00
2782912,,2024-11-16,,,42745976,"HDFC UPI",768.00
2782913,,2024-11-16,,,42752871,"HDFC UPI",4500.00
2782914,,2024-11-16,,,42752871,"HDFC UPI",480.00
2782915,,2024-11-16,,,42752871,"HDFC UPI",1839.20
2782916,,2024-11-16,,,42752871,"HDFC UPI",1599.00
2782917,,2024-11-16,,,42756119,"HDFC UPI",1.00
2782918,,2024-11-16,,,42752871,"HDFC UPI",6248.00
2782919,,2024-11-16,,,42752871,"HDFC UPI",4499.50
2782920,,2024-11-16,,,42752871,"HDFC UPI",2499.00
2782921,,2024-11-16,,,42752871,"HDFC UPI",7499.50
2782922,,2024-11-16,,,42756117,"HDFC UPI",1199.20
2782923,,2024-11-16,,,42756119,"HDFC UPI",1.00
2782924,,2024-11-16,,,42757408,"HDFC UPI",3299.00
2782925,,2024-11-16,,,42756117,"HDFC UPI",3998.20
2782926,,2024-11-16,,,42756117,"HDFC UPI",2499.00
2782927,,2024-11-16,,,42756117,"HDFC UPI",1199.00
2782928,,2024-11-16,,,42757408,"HDFC UPI",2799.00
2782929,,2024-11-16,,,42757408,"HDFC UPI",5298.00
2783725,,2024-11-15,,,42745976,"HDFC UPI",579.00
2783726,,2024-11-15,,,42752871,"HDFC UPI",1839.20
2783727,,2024-11-15,,,42756117,"HDFC UPI",339.20
2783728,,2024-11-15,,,42756117,"HDFC UPI",4998.20
