"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code",TID,"Collection Bank","Store Name","Deposit Amount"
2783994,,2024-11-21,,,99100011,"WALLET PHONEPAY",,1000.00
2783956,,2024-11-21,,,99100012,"WALLET PHONEPAY",,53490.00
2783955,,2024-11-20,,,L0595701,"WALLET PHONEPAY",,1.00
2783992,,2024-11-20,,,99100011,"WALLET PHONEPAY",,2500.00
2783993,,2024-11-20,,,99100011,"WALLET PHONEPAY",,9000.00
2784004,,2024-11-20,,,99043015,"WALLET PHONEPAY",,25000.00
2784005,,2024-11-20,,,99100012,"WALLET PHONEPAY",,15500.00
2784047,,2024-11-19,,,L0595701,"WALLET PHONEPAY",,1.00
2783953,,2024-11-19,,,9921603,"WALLET PHONEPAY",,64000.00
2783954,,2024-11-19,,,99100011,"WALLET PHONEPAY",,3900.00
2784002,,2024-11-18,,,9921603,"WALLET PHONEPAY",,17000.00
2784003,,2024-11-18,,,99100011,"WALLET PHONEPAY",,349.00
2784021,,2024-11-17,,,99100011,"WALLET PHONEPAY",,30750.00
2784025,,2024-11-17,,,99100011,"WALLET PHONEPAY",,1000.00
2784023,,2024-11-17,,,99100011,"WALLET PHONEPAY",,3200.00
2784024,,2024-11-16,,,99100011,"WALLET PHONEPAY",,17250.00
2784022,,2024-11-16,,,99100011,"WALLET PHONEPAY",,29000.00
2784018,,2024-11-16,,,99100012,"WALLET PHONEPAY",,8900.00
2784019,,2024-11-16,,,1479985,"WALLET PHONEPAY",,3799.00
2784020,,2024-11-16,,,1479985,"WALLET PHONEPAY",,6598.00
2784000,,2024-11-16,,,1569916,"WALLET PHONEPAY",,3498.00
2784001,,2024-11-16,,,1569916,"WALLET PHONEPAY",,3349.00
2783977,,2024-11-15,,,99100012,"WALLET PHONEPAY",,4000.00
2784017,,2024-11-14,,,99100011,"WALLET PHONEPAY",,10000.00
2783961,,2024-11-13,,,99100011,"WALLET PHONEPAY",,4250.00
2783962,,2024-11-13,,,99100011,"WALLET PHONEPAY",,8750.00
2783963,,2024-11-13,,,99100011,"WALLET PHONEPAY",,750.00
2783964,,2024-11-13,,,99100012,"WALLET PHONEPAY",,17500.00
2783970,,2024-11-12,,,99100011,"WALLET PHONEPAY",,9000.00
2783971,,2024-11-12,,,99100011,"WALLET PHONEPAY",,10500.00
2783972,,2024-11-12,,,99100011,"WALLET PHONEPAY",,22500.00
2783973,,2024-11-12,,,99100011,"WALLET PHONEPAY",,11480.00
2783974,,2024-11-12,,,99100012,"WALLET PHONEPAY",,4250.00
2783975,,2024-11-12,,,99100012,"WALLET PHONEPAY",,16500.00
2783976,,2024-11-12,,,99100012,"WALLET PHONEPAY",,24750.00
2783965,,2024-11-11,,,99035012,"WALLET PHONEPAY",,11000.00
