"Total Count: ",24
"Matched Count: ",22
"Not Matched Count: ",2

,,,,,,Total,694461.00,694350.00,-277,388.00
"Sales Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Deposit SlipNo","Tender Amount","Deposit Amount","Store Response Entry","Difference [Tender - Deposit - Store Response]"
24-04-2024,25-04-2024,1000,41000,"AXIS Cash",Matched,4100000688,35398.00,35400.00,0,-2.00
23-04-2024,25-04-2024,1000,41000,"AXIS Cash",Matched,4100000687,19749.00,19800.00,0,-51.00
22-04-2024,23-04-2024,1000,41000,"AXIS Cash",Matched,4100000686,10825.00,10800.00,0,25.00
21-04-2024,22-04-2024,1000,41000,"AXIS Cash",Matched,4100000685,32009.00,32000.00,0,9.00
20-04-2024,22-04-2024,1000,41000,"AXIS Cash",Matched,4100000684,32137.00,32100.00,0,37.00
19-04-2024,22-04-2024,1000,41000,"AXIS Cash",Matched,4100000683,47742.00,47700.00,0,42.00
18-04-2024,19-04-2024,1000,41000,"AXIS Cash",Matched,4100000682,48538.00,48500.00,0,38.00
17-04-2024,18-04-2024,1000,41000,"AXIS Cash",Matched,4100000681,29723.00,30000.00,-277,.00
16-04-2024,18-04-2024,1000,41000,"AXIS Cash","Not Matched",4100000680,38754.00,38500.00,0,254.00
15-04-2024,18-04-2024,1000,41000,"AXIS Cash",Matched,4100000679,60715.00,60700.00,0,15.00
14-04-2024,15-04-2024,1000,41000,"AXIS Cash",Matched,4100000678,78380.00,78400.00,0,-20.00
13-04-2024,15-04-2024,1000,41000,"AXIS Cash",Matched,4100000677,13005.00,13000.00,0,5.00
12-04-2024,15-04-2024,1000,41000,"AXIS Cash",Matched,4100000676,41604.00,41600.00,0,4.00
11-04-2024,12-04-2024,1000,41000,"AXIS Cash",Matched,4100000675,18668.00,18700.00,0,-32.00
10-04-2024,12-04-2024,1000,41000,"AXIS Cash",Matched,4100000674,17914.00,17900.00,0,14.00
09-04-2024,12-04-2024,1000,41000,"AXIS Cash",Matched,4100000673,1259.00,1250.00,0,9.00
08-04-2024,09-04-2024,1000,41000,"AXIS Cash",Matched,4100000672,37565.00,37500.00,0,65.00
07-04-2024,08-04-2024,1000,41000,"AXIS Cash",Matched,4100000671,13272.00,13300.00,0,-28.00
06-04-2024,08-04-2024,1000,41000,"AXIS Cash",Matched,4100000670,17893.00,17900.00,0,-7.00
05-04-2024,06-04-2024,1000,41000,"AXIS Cash",Matched,4100000669,12034.00,12000.00,0,34.00
04-04-2024,05-04-2024,1000,41000,"AXIS Cash","Not Matched",4100000668,4858.00,5000.00,0,-142.00
03-04-2024,04-04-2024,1000,41000,"AXIS Cash",Matched,4100000667,6656.00,6600.00,0,56.00
02-04-2024,03-04-2024,1000,41000,"AXIS Cash",Matched,4100000666,25220.00,25200.00,0,20.00
01-04-2024,02-04-2024,1000,41000,"AXIS Cash",Matched,4100000665,50543.00,50500.00,0,43.00
