MerchantId,PaymentType,MerchantReferenceId,PhonePeReferenceId,StoreId,StoreName,TerminalId,TerminalName,From,Instrument,CreationDate,TransactionDate,SettlementDate,BankReferenceNo,Amount,Fee,IGST,CGST,SGST
ABFRLPETERENGLAND,PAYMENT,66044-6604401-20230605142446,T2306051955157584915846,66044,Peter England,6604401,6604401,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3166.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPEPINELABS,PAYMENT,50124043139,T2306051427451524152629,134891,Louis Philippe Connaught Place,215511,13097,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571683876,999.500000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPEPINELABS,PAYMENT,50124043138,T2306051422408974915676,134891,Louis Philippe Connaught Place,215511,13097,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571683876,8597.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,28110-2811001-20230605131746,T2306051848000632427218,28110,VAN HEUSEN,2811001,2811001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,6999.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,28110-2811001-20230605110733,T2306051637392670375930,28110,VAN HEUSEN,2811001,2811001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,3299.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,13701-1370101-20230605150038,T2306052031525151602969,13701,Louis Philippe,1370101,1370101,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,9297.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66106-6610601-20230605150737,T2306052037518131075823,66106,Peter England,6610601,6610601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,5008.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66106-6610601-20230605130445,T2306051835035949298776,66106,Peter England,6610601,6610601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3798.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66106-6610601-20230605151024,T2306052040568154915366,66106,Peter England,6610601,6610601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1399.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,13389-1338901-20230605163637,T2306052206571939472777,13389,Louis Philippe,1338901,1338901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,2799.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66285-6628501-20230605092117,T2306051451433441602993,66285,Peter England,6628501,6628501,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,699.000000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,36856-3685601-20230605124954,T2306051820139774443371,36856,As Prime Krishnagiri,3685601,3685601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,17541.750000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,36856-3685601-20230605051824,T2306051049175071602887,36856,As Prime Krishnagiri,3685601,3685601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,1299.000000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,36856-3685601-20230605115506,T2306051725328457866536,36856,As Prime Krishnagiri,3685601,3685601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,5994.000000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,36856-3685601-20230605125840,T2306051829054454534955,36856,As Prime Krishnagiri,3685601,3685601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,649.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,67093-6709301-20230605125925,T2306051829466417875441,67093,67093,6709301,6709301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,4346.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,67093-6709301-20230605081126,T2306051342234058674829,67093,67093,6709301,6709301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1197.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,67093-6709301-20230605054924,T2306051119327019170999,67093,67093,6709301,6709301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3097.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63837-6383701-20230605141641,T2306051946554023858015,63837,Peter England,6383701,6383701,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3098.000000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,36512-3651201-20230605135019,T2306051920508282246161,36512,As Prime Narasaraopet,3651201,3651201,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,6995.000000,0.000000,0.000000,0.000000,0.000000
ABFRLALLENSOLLY,PAYMENT,36512-3651201-20230605154609,T2306052116406422024935,36512,As Prime Narasaraopet,3651201,3651201,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571321681,3646.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,17830-1783001-20230605155341,T2306052123507365679501,17830,Lp All Star Farrukhabad,1783001,1783001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,3100.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,17830-1783001-20230605152938,T2306052059480803120927,17830,Lp All Star Farrukhabad,1783001,1783001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,6495.000000,0.000000,0.000000,0.000000,0.000000
